                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.731,                 5.8034,                 4.0777,                0.59335,                0.04496,                0.05534,                0.02165,                 3.1879,                 4.2118,                 3.2616,              0.0033157,              0.0033157,              0.0033157
                      2,                 2.8542,                 3.9709,                 3.1717,                0.64522,                  0.434,                0.40659,                0.17468,                 2.3347,                  3.038,                 2.4886,              0.0065942,              0.0065942,              0.0065942
                      3,                 2.3033,                 2.8029,                 2.6508,                0.46318,                0.50635,                0.52456,                0.27634,                 1.9515,                 3.3262,                 2.2225,              0.0098177,              0.0098177,              0.0098177
                      4,                 1.9946,                 2.2289,                 2.3368,                0.75677,                 0.5131,                0.56642,                0.28859,                 2.0683,                 1.9776,                 2.1925,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.8098,                 1.8759,                 2.1431,                0.76772,                0.62631,                0.70345,                0.38821,                 1.6733,                 1.6064,                 1.9161,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.6918,                 1.6866,                 2.0387,                0.72572,                0.66504,                 0.7162,                0.41578,                 1.7646,                 1.5827,                 1.9547,                0.00967,                0.00967,                0.00967
                      7,                 1.5997,                 1.5578,                 1.9546,                 0.7427,                0.63052,                0.67457,                0.38314,                 1.6871,                 1.6188,                 1.8693,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.5319,                  1.444,                  1.888,                0.68046,                0.67731,                0.71924,                0.38773,                 1.7364,                 1.4261,                 1.9624,               0.009505,               0.009505,               0.009505
                      9,                 1.4973,                 1.3767,                 1.8473,                0.71532,                0.71925,                0.74184,                0.40984,                 1.6262,                 1.4331,                 1.8132,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.4475,                 1.3125,                 1.8013,                0.71632,                0.68572,                0.70125,                0.43283,                 1.6048,                 1.5799,                 1.8082,                0.00934,                0.00934,                0.00934
                     11,                 1.4005,                 1.2375,                 1.7506,                0.76962,                0.72946,                0.75722,                0.45783,                 1.5677,                 1.2715,                 1.7701,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.3752,                 1.1974,                 1.7226,                 0.7081,                 0.7615,                0.76051,                0.44486,                 1.5432,                 1.2639,                 1.8177,               0.009175,               0.009175,               0.009175
                     13,                 1.3398,                 1.1356,                 1.6969,                  0.845,                0.72561,                0.79626,                0.44882,                 1.5776,                 1.2902,                 1.7974,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.3279,                 1.1365,                 1.6892,                0.76301,                0.63637,                0.71563,                0.43733,                 1.5053,                 1.4358,                 1.7371,                0.00901,                0.00901,                0.00901
                     15,                 1.3136,                 1.1045,                 1.6708,                0.75188,                0.73924,                0.75467,                0.46597,                 1.5107,                 1.2478,                 1.7413,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.2803,                 1.0549,                 1.6377,                0.76563,                0.77444,                0.78768,                0.44751,                 1.5393,                 1.1916,                 1.7673,               0.008845,               0.008845,               0.008845
                     17,                 1.2761,                 1.0329,                 1.6284,                0.82601,                0.75364,                0.82441,                0.49401,                 1.5165,                 1.0677,                 1.7724,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.2404,                 1.0046,                  1.599,                0.80801,                0.77806,                0.79753,                0.47949,                 1.4995,                 1.1497,                 1.7494,                0.00868,                0.00868,                0.00868
