                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7962,                 5.9539,                 4.0523,                0.42601,                0.04304,                0.06133,                0.02265,                 3.1945,                  4.064,                 3.2738,              0.0033201,              0.0033201,              0.0033201
                      2,                 2.8352,                 4.0407,                 3.1835,                0.56403,                0.35335,                0.40344,                0.18067,                 2.2047,                 2.5358,                 2.3577,              0.0065985,              0.0065985,              0.0065985
                      3,                 2.2394,                 2.7106,                 2.5872,                0.53796,                0.50027,                0.57125,                0.26278,                 2.1305,                 2.3495,                 2.3623,              0.0098219,              0.0098219,              0.0098219
                      4,                 1.9168,                 2.0958,                 2.2731,                0.68035,                0.59839,                0.63708,                0.36434,                 1.7742,                 1.7372,                 2.0071,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.7472,                 1.7836,                 2.1013,                0.62669,                 0.6738,                0.72766,                0.43065,                 1.6658,                 1.4801,                  1.861,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.6181,                 1.5933,                 1.9658,                0.88984,                0.60438,                 0.7649,                 0.4433,                 1.6777,                 1.3677,                 1.8739,                0.00967,                0.00967,                0.00967
                      7,                 1.5371,                 1.4687,                 1.8942,                0.68708,                0.70797,                0.75098,                 0.4325,                   1.67,                 1.3324,                 1.8894,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.4752,                 1.3569,                 1.8323,                0.80299,                 0.6212,                0.73253,                0.40712,                 1.6918,                 1.4188,                 1.8996,               0.009505,               0.009505,               0.009505
                      9,                  1.397,                 1.2575,                 1.7467,                0.69307,                0.73341,                0.74352,                0.44011,                 1.5943,                 1.2391,                 1.8176,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.3637,                 1.2071,                 1.7199,                0.75984,                0.72648,                0.77134,                0.45937,                 1.5598,                 1.1977,                 1.7953,                0.00934,                0.00934,                0.00934
                     11,                 1.3179,                 1.1501,                 1.6767,                0.76554,                0.76978,                0.80207,                0.48872,                 1.5098,                 1.1503,                 1.7413,              0.0092575,              0.0092575,              0.0092575
                     12,                  1.293,                 1.0995,                 1.6456,                0.75356,                0.74171,                0.77488,                0.46298,                 1.5608,                 1.2144,                 1.7641,               0.009175,               0.009175,               0.009175
                     13,                 1.2686,                 1.0742,                 1.6279,                0.80664,                0.74414,                0.78516,                0.47037,                  1.541,                 1.1478,                 1.7965,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.2592,                 1.0592,                 1.6259,                0.78411,                0.80116,                0.79879,                0.47906,                 1.4667,                  1.019,                 1.7629,                0.00901,                0.00901,                0.00901
                     15,                 1.2453,                 1.0268,                 1.6106,                0.75882,                0.81193,                0.81523,                 0.4606,                 1.4831,                 1.0878,                 1.7195,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.2011,                0.98129,                 1.5681,                0.84772,                0.75447,                0.83346,                0.48409,                 1.5646,                 1.0918,                 1.8308,               0.008845,               0.008845,               0.008845
                     17,                 1.2089,                0.98769,                 1.5846,                0.84967,                0.75421,                0.81991,                 0.4836,                 1.5326,                  1.076,                 1.7695,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.1808,                0.93726,                 1.5554,                0.90333,                0.76092,                 0.8711,                0.53543,                 1.4701,                0.93759,                 1.7469,                0.00868,                0.00868,                0.00868
                     19,                 1.1614,                0.91679,                 1.5315,                0.77157,                0.78887,                0.81121,                0.46399,                  1.496,                 1.0505,                  1.748,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.1506,                0.90329,                 1.5294,                0.81343,                0.76663,                0.78827,                0.48285,                 1.4655,                 1.1445,                 1.7414,               0.008515,               0.008515,               0.008515
                     21,                 1.1206,                 0.8577,                 1.4982,                0.79721,                0.76963,                0.80111,                0.48355,                 1.5317,                 1.0998,                 1.8117,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.1149,                0.85724,                 1.4974,                 0.7406,                0.81843,                0.82815,                0.50916,                 1.4196,                0.97678,                  1.661,                0.00835,                0.00835,                0.00835
                     23,                 1.0964,                0.82661,                 1.4773,                0.85892,                0.73929,                0.80991,                0.48208,                  1.516,                 1.0257,                 1.7532,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.0981,                0.82729,                 1.4877,                0.84543,                0.79593,                0.82266,                   0.51,                 1.4467,                0.98822,                 1.7118,               0.008185,               0.008185,               0.008185
                     25,                 1.0711,                0.79371,                 1.4562,                0.81353,                0.79539,                0.82727,                0.52231,                 1.4669,                 0.9802,                 1.7237,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.0699,                0.79513,                 1.4515,                0.81351,                0.75856,                0.82586,                0.50773,                 1.4605,                  1.007,                 1.7033,                0.00802,                0.00802,                0.00802
                     27,                 1.0596,                0.78637,                 1.4466,                 0.8283,                0.79565,                0.82524,                0.50511,                 1.4278,                0.98362,                 1.7509,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.0356,                0.76664,                 1.4197,                0.77741,                0.79746,                0.79203,                0.46925,                 1.4651,                 1.0579,                 1.7411,               0.007855,               0.007855,               0.007855
                     29,                 1.0481,                0.77513,                 1.4397,                0.84301,                0.75744,                0.83559,                0.50453,                 1.4332,                0.95079,                 1.7343,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.0246,                0.74955,                 1.4142,                 0.8604,                0.81563,                 0.8476,                0.53372,                  1.391,                0.97035,                 1.7021,                0.00769,                0.00769,                0.00769
                     31,                 1.0251,                0.75029,                 1.4153,                0.79929,                0.75698,                0.81064,                0.51837,                 1.3644,                 1.0862,                 1.6412,              0.0076075,              0.0076075,              0.0076075
                     32,                  1.018,                0.74616,                 1.4098,                0.81398,                0.82202,                0.82449,                0.53478,                 1.3087,                0.93834,                 1.6179,               0.007525,               0.007525,               0.007525
                     33,                 1.0038,                0.72775,                 1.3981,                0.79152,                0.79881,                0.82282,                0.53059,                 1.4223,                0.91872,                 1.7213,              0.0074425,              0.0074425,              0.0074425
                     34,                0.99584,                0.71203,                 1.3891,                0.86955,                0.80214,                0.84602,                0.52238,                 1.3841,                0.87946,                 1.6839,                0.00736,                0.00736,                0.00736
                     35,                0.98418,                0.69857,                 1.3822,                0.81978,                0.76187,                0.78516,                0.49397,                 1.3972,                 1.0851,                 1.6921,              0.0072775,              0.0072775,              0.0072775
                     36,                0.99527,                0.70314,                 1.3892,                0.83287,                0.81025,                0.83259,                0.51314,                 1.4175,                0.96217,                 1.6942,               0.007195,               0.007195,               0.007195
