                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1559,                 6.4366,                 4.1894,                0.00024,                0.02343,                0.00017,                  4e-05,                 3.0055,                 5.2279,                  4.143,              0.0033245,              0.0033245,              0.0033245
                      2,                 2.6572,                  4.719,                 3.4994,                0.33009,                0.41646,                0.40087,                0.18988,                 2.1717,                 3.3544,                 2.9085,              0.0066029,              0.0066029,              0.0066029
                      3,                 2.2079,                 3.2541,                 2.9458,                 0.5064,                0.38724,                0.49417,                0.25436,                 1.9029,                 3.1403,                 2.7386,              0.0098263,              0.0098263,              0.0098263
                      4,                 1.9585,                 2.5972,                 2.6981,                 0.6201,                0.50346,                0.58802,                0.31827,                 1.7681,                 2.0769,                 2.5482,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.7713,                  2.148,                 2.4991,                0.77966,                0.57962,                0.67131,                0.38542,                  1.652,                 1.7976,                 2.4548,              0.0097525,              0.0097525,              0.0097525
                      6,                  1.647,                 1.9118,                 2.3736,                0.69237,                0.61865,                0.68074,                0.40667,                 1.6021,                 1.6869,                 2.3461,                0.00967,                0.00967,                0.00967
                      7,                 1.5582,                 1.7694,                 2.2868,                0.80653,                0.66526,                0.72787,                 0.4293,                 1.6058,                 1.5765,                 2.3609,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.4848,                 1.6301,                 2.1957,                0.73997,                0.65476,                0.72023,                0.43619,                 1.5416,                 1.5576,                 2.3502,               0.009505,               0.009505,               0.009505
                      9,                 1.4441,                  1.533,                 2.1407,                0.72157,                0.69112,                 0.7208,                0.43428,                 1.5356,                 1.5237,                 2.3726,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.3884,                 1.4547,                  2.082,                0.77146,                 0.7358,                0.77943,                0.47924,                 1.4971,                 1.2931,                 2.2418,                0.00934,                0.00934,                0.00934
                     11,                 1.3485,                 1.3668,                 2.0357,                0.78155,                0.72364,                0.79244,                 0.4583,                 1.5505,                 1.2416,                 2.3175,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.3112,                 1.3068,                 1.9896,                0.80436,                0.72251,                0.77714,                0.48206,                 1.5436,                 1.2962,                 2.3217,               0.009175,               0.009175,               0.009175
                     13,                 1.2842,                 1.2532,                 1.9668,                0.79876,                0.73481,                0.82281,                0.48958,                 1.5389,                 1.2281,                 2.3199,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.2855,                 1.2334,                 1.9613,                0.80462,                0.76242,                 0.8111,                0.49253,                 1.4608,                 1.1868,                 2.2487,                0.00901,                0.00901,                0.00901
                     15,                 1.2407,                 1.1628,                  1.911,                0.77692,                0.74755,                0.77262,                0.49082,                 1.4169,                 1.2243,                 2.1851,              0.0089275,              0.0089275,              0.0089275
