                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1088,                 6.2036,                 4.1162,                0.46692,                0.21264,                 0.1331,                0.04667,                 2.5454,                 4.0693,                 3.7181,              0.0033201,              0.0033201,              0.0033201
                      2,                 2.6083,                 4.4345,                 3.4117,                0.46485,                0.31251,                0.35762,                0.18857,                 2.2016,                 2.9655,                 2.9916,              0.0065985,              0.0065985,              0.0065985
                      3,                 2.2864,                  3.318,                 3.0123,                  0.518,                0.45077,                0.47603,                0.23229,                 1.9667,                 2.6302,                 2.7628,              0.0098219,              0.0098219,              0.0098219
                      4,                 2.0015,                 2.5947,                 2.7349,                0.59711,                0.57933,                0.57252,                 0.3334,                 1.8193,                 2.4556,                 2.5809,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.8352,                 2.2436,                 2.5727,                0.56534,                0.62074,                0.59465,                0.35786,                 1.6637,                 1.9152,                 2.4245,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.7104,                      2,                 2.4268,                0.64576,                0.61637,                0.63332,                0.39686,                  1.552,                 1.9598,                 2.3651,                0.00967,                0.00967,                0.00967
                      7,                 1.6198,                 1.8489,                 2.3478,                 0.7427,                0.58117,                0.64786,                0.39762,                 1.6479,                 1.8686,                 2.4766,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.5716,                 1.7242,                 2.2847,                0.72441,                0.62119,                0.68052,                0.38275,                  1.679,                    1.8,                 2.4196,               0.009505,               0.009505,               0.009505
                      9,                 1.4892,                 1.5985,                 2.1959,                0.62349,                0.67062,                0.66394,                0.37404,                  1.707,                 1.6488,                 2.5192,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.4595,                  1.541,                 2.1552,                0.69188,                0.68284,                0.72822,                0.44145,                 1.5225,                 1.4433,                 2.3452,                0.00934,                0.00934,                0.00934
                     11,                 1.4028,                 1.4636,                 2.0985,                0.72375,                0.76688,                 0.7832,                0.46976,                 1.5462,                 1.3297,                  2.353,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.3799,                 1.3909,                 2.0694,                0.72936,                0.72303,                0.74558,                0.44136,                  1.585,                 1.4493,                 2.4926,               0.009175,               0.009175,               0.009175
                     13,                 1.3632,                 1.3536,                 2.0501,                0.76711,                0.74448,                0.77217,                0.46213,                 1.4516,                 1.3565,                 2.2965,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.3502,                 1.3284,                 2.0335,                0.77239,                0.76196,                 0.7935,                0.45913,                 1.5645,                 1.3149,                 2.4744,                0.00901,                0.00901,                0.00901
                     15,                 1.3225,                  1.276,                 1.9916,                0.72705,                0.76922,                 0.7885,                0.43329,                 1.5782,                 1.2695,                 2.4287,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.2811,                 1.2198,                 1.9461,                0.82997,                0.72745,                0.80302,                0.46567,                  1.547,                 1.2752,                 2.3984,               0.008845,               0.008845,               0.008845
                     17,                 1.2797,                 1.2285,                 1.9547,                0.75403,                0.74628,                0.78258,                0.47674,                 1.5005,                 1.2988,                 2.3764,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.2651,                 1.1655,                  1.938,                0.73844,                0.78633,                0.82645,                 0.5038,                 1.4845,                 1.2216,                 2.3781,                0.00868,                0.00868,                0.00868
                     19,                 1.2337,                 1.1336,                 1.9038,                0.79141,                0.76183,                0.81387,                0.48936,                 1.5017,                 1.1613,                  2.329,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.2396,                 1.1082,                  1.892,                0.74757,                0.77522,                0.80934,                0.51152,                 1.4558,                  1.287,                  2.278,               0.008515,               0.008515,               0.008515
                     21,                 1.1912,                 1.0538,                 1.8431,                0.69217,                0.74625,                0.78608,                 0.4623,                 1.5164,                 1.3079,                 2.3682,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.1875,                 1.0553,                 1.8416,                0.78467,                0.79304,                0.79311,                0.47414,                 1.5068,                 1.1388,                 2.3265,                0.00835,                0.00835,                0.00835
                     23,                 1.1664,                 1.0133,                 1.8129,                 0.7906,                0.78379,                0.81447,                0.48253,                 1.5079,                 1.2086,                 2.3981,              0.0082675,              0.0082675,              0.0082675
                     24,                  1.164,                 1.0054,                 1.8272,                0.80589,                0.79052,                0.82363,                0.49903,                 1.4758,                 1.1169,                 2.3125,               0.008185,               0.008185,               0.008185
                     25,                 1.1464,                0.97071,                 1.7918,                0.82189,                0.78643,                0.81056,                0.49818,                 1.4651,                 1.1211,                 2.3472,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.1408,                0.97492,                  1.783,                0.80594,                0.76704,                0.80459,                0.49006,                 1.4326,                 1.1872,                  2.308,                0.00802,                0.00802,                0.00802
                     27,                 1.1295,                0.95333,                 1.7693,                0.77766,                0.80392,                 0.8078,                0.49716,                 1.4606,                 1.1739,                 2.3127,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.1054,                0.93112,                 1.7403,                0.77972,                0.74357,                0.77799,                0.46992,                 1.4723,                 1.1577,                 2.3133,               0.007855,               0.007855,               0.007855
                     29,                  1.118,                 0.9452,                 1.7491,                0.77345,                0.76751,                0.82194,                0.49699,                 1.4331,                 1.0452,                 2.3089,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.0947,                0.90226,                 1.7275,                0.82985,                0.81411,                0.83164,                0.51292,                 1.4004,                0.98623,                 2.2867,                0.00769,                0.00769,                0.00769
                     31,                 1.0966,                0.90081,                 1.7271,                0.82553,                0.78296,                0.80984,                0.50155,                 1.4102,                 1.1084,                 2.2399,              0.0076075,              0.0076075,              0.0076075
                     32,                 1.0952,                0.90863,                 1.7274,                0.76306,                0.76279,                 0.7993,                0.50238,                 1.3838,                 1.1215,                 2.2323,               0.007525,               0.007525,               0.007525
                     33,                  1.078,                0.88722,                 1.7102,                 0.8184,                0.75408,                0.82096,                0.52249,                 1.4086,                 1.0457,                 2.2414,              0.0074425,              0.0074425,              0.0074425
                     34,                 1.0673,                 0.8658,                 1.6965,                0.80044,                0.81471,                0.83843,                0.52694,                 1.4048,                0.99736,                  2.238,                0.00736,                0.00736,                0.00736
                     35,                 1.0625,                0.84759,                 1.6839,                0.80529,                0.77007,                0.82123,                0.49575,                 1.4823,                 1.0836,                 2.3047,              0.0072775,              0.0072775,              0.0072775
                     36,                 1.0643,                0.85994,                 1.6885,                0.84897,                0.78531,                0.84681,                0.52754,                 1.4045,                 0.9812,                   2.32,               0.007195,               0.007195,               0.007195
                     37,                 1.0599,                0.84512,                 1.6861,                0.76108,                0.78086,                0.80384,                0.50879,                 1.4342,                 1.0959,                 2.2387,              0.0071125,              0.0071125,              0.0071125
                     38,                 1.0274,                 0.8231,                 1.6529,                 0.7824,                0.82258,                 0.8197,                0.51705,                 1.4273,                 1.0954,                 2.2629,                0.00703,                0.00703,                0.00703
                     39,                 1.0372,                0.82382,                 1.6622,                0.77679,                0.79754,                0.81135,                  0.495,                 1.4274,                  1.114,                 2.3011,              0.0069475,              0.0069475,              0.0069475
                     40,                  1.019,                0.79629,                  1.641,                0.78567,                0.79444,                 0.8324,                0.53575,                 1.3939,                 1.0438,                 2.2701,               0.006865,               0.006865,               0.006865
                     41,                 1.0154,                0.79009,                  1.641,                0.81125,                0.78909,                0.81317,                0.52319,                 1.3558,                 1.0517,                  2.231,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.0129,                0.79967,                 1.6413,                0.79948,                0.78069,                0.81115,                0.52784,                 1.3628,                 1.0566,                 2.2375,                 0.0067,                 0.0067,                 0.0067
                     43,                0.99842,                0.77898,                 1.6254,                0.80532,                 0.8104,                0.84484,                0.54124,                 1.3732,                 1.0218,                 2.2615,              0.0066175,              0.0066175,              0.0066175
                     44,                0.99893,                0.77442,                  1.615,                0.82486,                0.78686,                0.81248,                0.52229,                 1.4088,                 1.0549,                 2.2805,               0.006535,               0.006535,               0.006535
                     45,                0.99286,                0.77433,                 1.6209,                0.81705,                0.80216,                0.81894,                0.51972,                 1.3945,                 1.0184,                 2.2717,              0.0064525,              0.0064525,              0.0064525
                     46,                 0.9847,                0.76977,                 1.6055,                 0.7552,                0.79828,                0.80182,                0.52556,                 1.3817,                 1.1454,                 2.2951,                0.00637,                0.00637,                0.00637
                     47,                0.98668,                0.77164,                 1.6131,                0.81092,                 0.7886,                0.82816,                0.54858,                  1.339,                0.98707,                 2.2182,              0.0062875,              0.0062875,              0.0062875
                     48,                0.97898,                0.75209,                 1.5986,                0.79185,                0.82909,                0.82235,                0.53084,                 1.3477,                 1.0116,                 2.2262,               0.006205,               0.006205,               0.006205
                     49,                0.97947,                0.75097,                 1.5983,                0.82085,                 0.8189,                0.83953,                0.53362,                 1.3727,                0.94904,                 2.2223,              0.0061225,              0.0061225,              0.0061225
                     50,                0.95877,                0.73416,                 1.5766,                0.75789,                0.82005,                0.81248,                0.53042,                 1.3757,                 1.0128,                 2.2215,                0.00604,                0.00604,                0.00604
                     51,                0.96813,                0.74579,                 1.5898,                0.80478,                0.80512,                0.85207,                0.54389,                 1.3799,                0.94239,                 2.2778,              0.0059575,              0.0059575,              0.0059575
                     52,                  0.961,                0.73435,                 1.5794,                0.77235,                0.83284,                0.81187,                0.53772,                 1.3501,                0.98623,                  2.225,               0.005875,               0.005875,               0.005875
                     53,                0.94236,                0.70441,                 1.5581,                0.78803,                0.80848,                0.82616,                0.55173,                 1.3218,                0.99791,                 2.2364,              0.0057925,              0.0057925,              0.0057925
                     54,                0.95656,                 0.7301,                 1.5741,                0.85997,                 0.7688,                0.82675,                0.54299,                 1.3232,                 1.0109,                 2.2079,                0.00571,                0.00571,                0.00571
                     55,                0.95307,                0.72437,                 1.5657,                0.82115,                0.79655,                0.83968,                0.54217,                 1.3513,                0.98125,                  2.251,              0.0056275,              0.0056275,              0.0056275
                     56,                0.94785,                0.71589,                 1.5622,                0.80876,                0.81371,                0.83856,                0.53902,                  1.396,                0.99675,                 2.2793,               0.005545,               0.005545,               0.005545
                     57,                0.92289,                0.68467,                 1.5371,                0.83941,                0.80462,                0.84463,                0.53032,                 1.4083,                0.93231,                 2.2947,              0.0054625,              0.0054625,              0.0054625
                     58,                0.93242,                0.69755,                  1.547,                0.78216,                0.84136,                 0.8495,                0.55131,                 1.3276,                0.92176,                 2.1745,                0.00538,                0.00538,                0.00538
                     59,                0.93159,                0.69627,                 1.5436,                0.81175,                0.80043,                0.83114,                 0.5495,                 1.3113,                 1.0438,                 2.1904,              0.0052975,              0.0052975,              0.0052975
                     60,                0.91555,                0.68898,                 1.5295,                0.83357,                0.79861,                0.83905,                 0.5353,                 1.3937,                0.96995,                 2.2829,               0.005215,               0.005215,               0.005215
                     61,                0.92738,                0.68133,                 1.5387,                0.81388,                0.81966,                0.82583,                0.53879,                 1.3645,                  1.019,                 2.2431,              0.0051325,              0.0051325,              0.0051325
                     62,                0.91923,                 0.6841,                 1.5326,                0.82339,                0.81938,                0.85637,                0.55375,                 1.3345,                0.93797,                 2.1912,                0.00505,                0.00505,                0.00505
