                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4144,                 5.3846,                 3.7016,                0.30817,                0.21927,                0.25374,                0.17917,                 2.2168,                 2.7095,                 2.4679,              0.0033235,              0.0033235,              0.0033235
                      2,                 1.8727,                  2.267,                 2.1576,                 0.6968,                0.70704,                0.75145,                0.45946,                 1.4911,                 1.2921,                 1.6652,              0.0066019,              0.0066019,              0.0066019
                      3,                 1.4508,                 1.3117,                 1.6634,                0.85534,                0.72853,                0.78287,                0.52058,                 1.2313,                 1.0966,                  1.437,              0.0098254,              0.0098254,              0.0098254
                      4,                 1.2846,                 1.0376,                 1.5102,                 0.8156,                0.80862,                0.83785,                0.55606,                 1.2217,                0.89368,                 1.4057,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.1909,                 0.9027,                 1.4267,                0.89369,                0.82477,                0.87459,                   0.62,                 1.0907,                0.81215,                  1.324,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.1242,                0.81595,                 1.3732,                0.88403,                0.83662,                0.88694,                0.62902,                 1.0728,                0.71105,                 1.2969,                0.00967,                0.00967,                0.00967
                      7,                 1.0874,                 0.7582,                 1.3419,                0.92002,                0.80285,                0.89476,                0.63094,                 1.0615,                0.72128,                 1.2709,              0.0095875,              0.0095875,              0.0095875
                      8,                  1.044,                0.70782,                 1.3109,                0.92277,                0.86356,                0.90885,                0.63838,                 1.0358,                0.64902,                 1.2714,               0.009505,               0.009505,               0.009505
                      9,                 1.0225,                0.69037,                 1.2951,                0.91397,                0.87701,                0.91821,                0.66621,                0.99931,                0.60824,                  1.238,              0.0094225,              0.0094225,              0.0094225
                     10,                0.99552,                0.66133,                 1.2753,                0.88757,                0.83803,                0.88413,                0.63707,                 1.0354,                0.66892,                 1.2699,                0.00934,                0.00934,                0.00934
                     11,                0.97973,                0.64215,                 1.2634,                0.89606,                0.86023,                0.91494,                0.65958,                 1.0222,                0.63269,                 1.2451,              0.0092575,              0.0092575,              0.0092575
