                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6404,                 5.7992,                 3.9805,                      0,                      0,                      0,                      0,                 4.4641,                 5.0965,                 4.2708,              0.0033022,              0.0033022,              0.0033022
                      2,                 2.4784,                 3.5852,                 2.7514,                0.54033,                0.45025,                0.42556,                0.23265,                 1.9412,                  2.215,                 2.1748,              0.0065808,              0.0065808,              0.0065808
                      3,                   1.84,                 2.0909,                 2.0774,                0.63785,                0.54682,                0.55147,                0.33262,                 1.6006,                 2.3321,                 1.8005,              0.0098044,              0.0098044,              0.0098044
                      4,                 1.5321,                 1.4329,                 1.7496,                  0.783,                 0.7387,                0.78722,                0.50364,                 1.3881,                 1.6121,                  1.593,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.3722,                 1.1512,                 1.5824,                 0.8868,                0.75173,                0.81802,                0.50679,                 1.3494,                 1.1065,                 1.5198,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2931,                 1.0287,                 1.5142,                0.88751,                0.75631,                0.81659,                0.53348,                 1.2853,                 1.0502,                 1.4835,                0.00967,                0.00967,                0.00967
                      7,                 1.2206,                 0.9389,                 1.4523,                0.82381,                0.79019,                0.83413,                0.56253,                 1.2444,                0.93683,                 1.4389,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.1934,                0.89434,                 1.4319,                0.88126,                0.82448,                0.86851,                0.58868,                 1.1893,                0.80903,                 1.3907,               0.009505,               0.009505,               0.009505
                      9,                 1.1494,                0.83114,                 1.3898,                 0.8812,                0.78027,                0.82843,                0.55867,                 1.2404,                0.92432,                 1.4298,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.1281,                0.80592,                 1.3715,                0.86373,                0.81485,                0.84826,                0.58034,                 1.1321,                0.87974,                 1.3593,                0.00934,                0.00934,                0.00934
                     11,                 1.1086,                0.78353,                 1.3526,                 0.8669,                 0.8114,                0.85051,                0.61171,                  1.097,                0.78463,                 1.3364,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.0949,                0.76499,                 1.3486,                0.88503,                0.84566,                0.87559,                0.62166,                  1.095,                0.73678,                 1.3447,               0.009175,               0.009175,               0.009175
                     13,                 1.0734,                0.74364,                 1.3311,                0.90447,                0.83864,                0.89307,                0.62416,                 1.1003,                 0.7091,                 1.3294,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.0582,                0.72397,                 1.3158,                0.88834,                0.81514,                0.86723,                0.61228,                 1.1298,                0.78096,                 1.3452,                0.00901,                0.00901,                0.00901
                     15,                 1.0405,                0.70405,                 1.3072,                0.90632,                0.82785,                0.88747,                0.62795,                 1.0845,                0.71109,                  1.307,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.0283,                0.68864,                 1.2956,                0.89431,                0.86379,                0.89766,                0.61022,                 1.1313,                0.69406,                 1.3715,               0.008845,               0.008845,               0.008845
                     17,                 1.0107,                0.67336,                 1.2851,                0.88773,                0.84348,                0.87857,                0.59371,                 1.1709,                0.70748,                 1.3874,              0.0087625,              0.0087625,              0.0087625
                     18,                  1.011,                0.67706,                 1.2871,                0.88762,                0.84617,                0.89527,                0.63636,                 1.0741,                0.68026,                 1.3245,                0.00868,                0.00868,                0.00868
                     19,                 1.0075,                 0.6632,                 1.2798,                0.89182,                0.84936,                0.89109,                0.62464,                 1.0963,                0.72855,                 1.3233,              0.0085975,              0.0085975,              0.0085975
                     20,                0.98502,                0.64643,                  1.264,                0.90423,                0.84498,                0.89393,                0.63331,                 1.1137,                0.70222,                  1.338,               0.008515,               0.008515,               0.008515
                     21,                0.97981,                0.64058,                 1.2606,                0.89968,                0.83343,                0.87934,                0.63029,                 1.0691,                0.71189,                 1.3089,              0.0084325,              0.0084325,              0.0084325
                     22,                0.97131,                0.63879,                  1.253,                0.89988,                0.85367,                0.89782,                0.59873,                 1.1532,                0.67209,                 1.3947,                0.00835,                0.00835,                0.00835
                     23,                0.96985,                0.62985,                 1.2532,                0.91192,                0.85539,                  0.904,                0.63469,                 1.1044,                0.69152,                 1.3273,              0.0082675,              0.0082675,              0.0082675
                     24,                0.95886,                0.62387,                 1.2486,                0.89448,                0.86173,                0.89697,                0.66212,                 1.0334,                0.64782,                 1.2744,               0.008185,               0.008185,               0.008185
                     25,                0.95222,                0.61685,                 1.2417,                0.89494,                0.84007,                0.88055,                0.64045,                 1.0445,                0.69629,                 1.2793,              0.0081025,              0.0081025,              0.0081025
                     26,                0.95012,                0.60783,                  1.239,                0.90603,                0.84069,                 0.8998,                0.62765,                 1.1089,                0.64801,                 1.3398,                0.00802,                0.00802,                0.00802
                     27,                0.93625,                0.60226,                  1.228,                0.90079,                0.86715,                0.89959,                0.64041,                 1.0691,                0.64286,                 1.2956,              0.0079375,              0.0079375,              0.0079375
                     28,                0.93778,                0.59985,                 1.2317,                0.91921,                0.85804,                0.90356,                0.65102,                 1.0644,                 0.6449,                 1.3013,               0.007855,               0.007855,               0.007855
                     29,                  0.929,                0.59501,                 1.2271,                0.88995,                0.87434,                0.90851,                0.65421,                 1.0673,                0.62694,                 1.2988,              0.0077725,              0.0077725,              0.0077725
