                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5682,                 5.5311,                 3.8878,                 0.4756,                0.12469,                0.19853,                 0.1365,                 2.9457,                 3.4043,                 3.0255,              0.0033143,              0.0033143,              0.0033143
                      2,                 2.1817,                 2.8225,                 2.5075,                0.63484,                 0.6299,                0.65937,                0.40016,                 1.5983,                 1.6286,                 1.8163,              0.0065928,              0.0065928,              0.0065928
                      3,                 1.6309,                 1.6419,                 1.8577,                0.62263,                0.37432,                0.50536,                0.22351,                 2.2389,                 3.0146,                 2.3037,              0.0098163,              0.0098163,              0.0098163
                      4,                 1.4134,                 1.2099,                  1.634,                0.85096,                0.71306,                 0.8001,                0.52444,                 1.3018,                 1.0674,                 1.5079,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.2795,                 1.0092,                 1.5142,                0.89459,                0.76822,                0.81235,                0.54778,                 1.2084,                0.97852,                  1.435,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.1977,                0.88724,                 1.4354,                0.84724,                0.83386,                0.87222,                0.58309,                    1.2,                 0.8514,                 1.4085,                0.00967,                0.00967,                0.00967
                      7,                 1.1434,                0.81773,                 1.3905,                0.87819,                0.77932,                0.87216,                0.60559,                 1.1073,                0.79548,                 1.3308,              0.0095875,              0.0095875,              0.0095875
                      8,                  1.102,                0.77797,                  1.361,                0.88202,                0.80199,                0.87431,                0.59639,                 1.1433,                0.78904,                 1.3634,               0.009505,               0.009505,               0.009505
                      9,                  1.067,                0.73878,                 1.3364,                0.89006,                 0.8433,                 0.8855,                0.63172,                 1.0722,                0.77159,                 1.3209,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.0549,                0.71925,                  1.322,                 0.8851,                0.83804,                0.88749,                0.61553,                 1.1186,                0.68298,                 1.3427,                0.00934,                0.00934,                0.00934
                     11,                 1.0316,                0.69701,                 1.3077,                0.91895,                0.83892,                 0.8983,                0.64664,                 1.0372,                0.66033,                 1.2639,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.0148,                0.67265,                 1.2944,                0.90127,                 0.8507,                0.88466,                0.63566,                 1.0363,                0.70366,                 1.2706,               0.009175,               0.009175,               0.009175
                     13,                 1.0074,                0.66215,                 1.2889,                0.89186,                0.84499,                0.89716,                0.63327,                 1.0873,                0.66599,                  1.326,              0.0090925,              0.0090925,              0.0090925
                     14,                0.97692,                0.63807,                 1.2679,                0.90804,                0.82626,                0.87553,                0.63371,                 1.0494,                0.67345,                  1.294,                0.00901,                0.00901,                0.00901
                     15,                0.96768,                0.62496,                 1.2577,                0.89838,                0.85764,                0.92282,                0.65544,                 1.0393,                0.62544,                 1.2751,              0.0089275,              0.0089275,              0.0089275
                     16,                0.96476,                 0.6178,                 1.2564,                0.92467,                0.85983,                0.91109,                0.65989,                 1.0355,                0.62048,                 1.2721,               0.008845,               0.008845,               0.008845
                     17,                0.95112,                0.61069,                 1.2474,                0.91436,                0.86261,                0.90335,                0.64451,                 1.0803,                 0.6447,                 1.2946,              0.0087625,              0.0087625,              0.0087625
                     18,                0.93703,                0.59487,                 1.2357,                0.90725,                0.88327,                0.90912,                  0.658,                 1.0277,                0.62997,                 1.2599,                0.00868,                0.00868,                0.00868
                     19,                0.92948,                0.58892,                 1.2336,                0.92456,                0.86776,                0.90946,                0.66129,                 1.0188,                 0.6043,                 1.2669,              0.0085975,              0.0085975,              0.0085975
                     20,                0.91551,                0.57661,                 1.2249,                 0.8933,                0.86073,                0.89475,                0.64183,                  1.043,                0.61982,                 1.2743,               0.008515,               0.008515,               0.008515
                     21,                0.90245,                0.56578,                 1.2154,                0.91376,                0.85911,                0.90005,                0.66745,                 0.9988,                0.60439,                 1.2565,              0.0084325,              0.0084325,              0.0084325
                     22,                0.89606,                0.56056,                 1.2064,                 0.9328,                0.86676,                0.91981,                0.67359,                0.98701,                0.56984,                 1.2435,                0.00835,                0.00835,                0.00835
                     23,                0.90297,                0.55936,                 1.2151,                0.91343,                0.87183,                0.91625,                0.65811,                 1.0036,                0.60399,                 1.2502,              0.0082675,              0.0082675,              0.0082675
                     24,                0.89853,                0.55285,                 1.2099,                0.90753,                0.85845,                0.88847,                0.66374,                0.99611,                0.62226,                 1.2423,               0.008185,               0.008185,               0.008185
                     25,                0.88692,                0.54655,                 1.2024,                0.92224,                0.88105,                0.92875,                0.67761,                0.97601,                0.57631,                 1.2271,              0.0081025,              0.0081025,              0.0081025
                     26,                0.87505,                0.53665,                 1.1934,                  0.922,                0.87349,                0.90576,                0.66923,                0.98848,                  0.582,                  1.235,                0.00802,                0.00802,                0.00802
                     27,                0.87431,                0.53111,                 1.1917,                0.92619,                 0.8786,                0.91591,                0.67365,                0.99265,                0.57668,                 1.2332,              0.0079375,              0.0079375,              0.0079375
                     28,                0.85934,                0.52438,                  1.182,                0.93654,                 0.8741,                0.91958,                0.67341,                 1.0079,                0.57147,                 1.2568,               0.007855,               0.007855,               0.007855
                     29,                0.86629,                  0.526,                 1.1886,                0.92004,                0.87348,                0.92371,                0.66953,                 1.0069,                0.56951,                 1.2437,              0.0077725,              0.0077725,              0.0077725
                     30,                 0.8536,                0.51788,                 1.1779,                 0.9091,                0.86898,                0.89603,                 0.6695,                0.97585,                0.58004,                 1.2342,                0.00769,                0.00769,                0.00769
                     31,                0.85181,                0.51605,                 1.1813,                0.91435,                0.86889,                0.91128,                0.67303,                0.97305,                0.56792,                 1.2267,              0.0076075,              0.0076075,              0.0076075
                     32,                0.84865,                0.50963,                 1.1748,                0.93454,                0.87167,                0.90984,                0.67386,                0.96743,                0.56281,                 1.2256,               0.007525,               0.007525,               0.007525
                     33,                0.84868,                0.51196,                 1.1761,                0.92815,                0.87724,                0.90904,                0.67611,                0.96401,                0.56576,                  1.226,              0.0074425,              0.0074425,              0.0074425
                     34,                0.83736,                 0.5072,                 1.1687,                 0.9249,                0.88522,                0.91704,                0.66725,                0.99715,                0.55317,                 1.2475,                0.00736,                0.00736,                0.00736
                     35,                0.82948,                0.49725,                 1.1633,                0.90927,                0.88674,                0.91945,                0.67559,                0.98456,                0.57389,                 1.2343,              0.0072775,              0.0072775,              0.0072775
                     36,                0.82285,                0.49487,                 1.1583,                0.92842,                0.87402,                0.91387,                0.67865,                0.96124,                0.55583,                 1.2205,               0.007195,               0.007195,               0.007195
                     37,                0.83045,                0.49652,                 1.1672,                0.92319,                 0.8741,                 0.9225,                0.69305,                0.95949,                0.56272,                   1.22,              0.0071125,              0.0071125,              0.0071125
                     38,                0.82219,                0.49218,                 1.1574,                0.92322,                0.87396,                0.92042,                0.68502,                0.97361,                0.54935,                   1.23,                0.00703,                0.00703,                0.00703
                     39,                0.82223,                 0.4885,                 1.1614,                0.92226,                0.87623,                0.91915,                0.67302,                  1.003,                0.57199,                 1.2605,              0.0069475,              0.0069475,              0.0069475
                     40,                0.81536,                0.48733,                 1.1536,                0.92029,                0.88076,                0.92904,                0.69017,                0.97375,                0.55078,                 1.2315,               0.006865,               0.006865,               0.006865
                     41,                 0.8063,                0.47774,                 1.1467,                0.93174,                0.87714,                0.92724,                0.69148,                0.96542,                0.55047,                 1.2201,              0.0067825,              0.0067825,              0.0067825
                     42,                0.80738,                0.47746,                 1.1479,                0.92228,                0.86314,                 0.9077,                0.67988,                0.94746,                0.57377,                 1.2139,                 0.0067,                 0.0067,                 0.0067
                     43,                0.80893,                0.47712,                 1.1496,                  0.935,                0.87698,                0.91978,                0.68028,                0.97028,                0.55326,                 1.2374,              0.0066175,              0.0066175,              0.0066175
                     44,                0.80101,                0.47134,                 1.1414,                0.93986,                0.87761,                0.91995,                0.69291,                0.93951,                0.54382,                 1.2138,               0.006535,               0.006535,               0.006535
                     45,                0.79911,                0.47134,                 1.1432,                0.92594,                0.87868,                0.91436,                0.68483,                0.96787,                0.55323,                 1.2298,              0.0064525,              0.0064525,              0.0064525
