                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3171,                 5.3819,                 4.0765,                0.50179,                 0.0675,                0.03486,                0.00948,                 2.8847,                 3.5679,                 3.4485,              0.0033256,              0.0033256,              0.0033256
                      2,                  2.647,                 3.6662,                  3.165,                0.46328,                0.37537,                0.34791,                0.13634,                 2.2453,                 2.3084,                 2.5649,               0.006604,               0.006604,               0.006604
                      3,                 2.2035,                 2.7029,                 2.6009,                0.51339,                0.40398,                0.40167,                0.17518,                 2.0462,                 2.3441,                 2.3256,              0.0098274,              0.0098274,              0.0098274
                      4,                 1.9803,                 2.2397,                 2.3448,                0.59698,                0.65141,                0.60412,                0.28686,                 1.7192,                 1.5585,                 1.9898,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.8341,                 1.9133,                  2.177,                0.65809,                0.67639,                0.66757,                0.33657,                 1.6778,                 1.4202,                 1.9164,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.7549,                 1.7489,                 2.0881,                 0.6832,                0.74888,                0.72086,                0.37297,                  1.628,                 1.2972,                 1.8599,                0.00967,                0.00967,                0.00967
                      7,                 1.6785,                  1.602,                 2.0199,                0.69389,                0.75416,                0.75974,                0.41297,                 1.5588,                  1.193,                 1.8232,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.6384,                 1.5366,                 1.9751,                0.75686,                0.75289,                0.76395,                0.41273,                 1.5811,                 1.1285,                 1.8006,               0.009505,               0.009505,               0.009505
                      9,                 1.5973,                  1.441,                 1.9366,                0.70729,                0.78422,                0.74616,                0.40254,                 1.5634,                 1.1155,                 1.7711,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.5514,                 1.3767,                 1.8861,                0.75728,                0.80863,                0.76859,                0.43877,                 1.4801,                 1.0302,                 1.7518,                0.00934,                0.00934,                0.00934
                     11,                 1.5238,                 1.3318,                 1.8653,                0.74137,                0.80959,                0.77423,                0.44164,                 1.4802,                 1.0292,                 1.7189,              0.0092575,              0.0092575,              0.0092575
