                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2521,                 5.2423,                 4.0599,                0.33892,                0.09975,                0.02452,                0.00668,                 2.7986,                 4.1793,                 3.4036,              0.0033217,              0.0033217,              0.0033217
                      2,                 2.7104,                 3.7642,                 3.2488,                0.33509,                0.27338,                0.22311,                0.08386,                 2.3016,                 2.9659,                 2.6654,              0.0066001,              0.0066001,              0.0066001
                      3,                 2.2193,                 2.7001,                 2.6401,                 0.5129,                0.42355,                0.45467,                0.19962,                 2.0426,                 2.2397,                 2.2645,              0.0098236,              0.0098236,              0.0098236
                      4,                 1.9631,                 2.1248,                 2.3033,                0.65092,                0.60179,                0.64938,                0.30664,                 1.7923,                 1.5995,                 2.0483,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.8121,                  1.801,                 2.1125,                0.76521,                0.68686,                  0.733,                0.35231,                 1.7254,                 1.3053,                 1.8759,              0.0097525,              0.0097525,              0.0097525
                      6,                  1.732,                 1.6392,                 2.0284,                0.76587,                0.72597,                0.74821,                0.36891,                 1.7241,                 1.3092,                 1.8945,                0.00967,                0.00967,                0.00967
                      7,                 1.6824,                 1.5459,                 1.9763,                0.77592,                0.78213,                0.80699,                0.41749,                 1.6292,                 1.1644,                 1.7834,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.6148,                 1.4303,                 1.8916,                0.65102,                0.66725,                 0.6507,                 0.3454,                 1.6692,                   1.65,                 1.7727,               0.009505,               0.009505,               0.009505
                      9,                 1.5716,                  1.352,                 1.8434,                0.81934,                0.74671,                0.80609,                0.44723,                 1.5424,                 1.0673,                 1.6594,              0.0094225,              0.0094225,              0.0094225
                     10,                  1.528,                 1.2663,                  1.794,                0.83086,                0.83502,                0.85929,                0.47706,                 1.4821,                0.93579,                 1.6097,                0.00934,                0.00934,                0.00934
                     11,                  1.512,                 1.2281,                 1.7759,                0.79697,                0.82713,                0.85584,                0.47141,                 1.5188,                0.95558,                 1.6707,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.4834,                 1.2041,                 1.7566,                0.81449,                0.85145,                0.85701,                0.49216,                 1.4614,                0.91551,                 1.6106,               0.009175,               0.009175,               0.009175
                     13,                 1.4652,                 1.1604,                 1.7316,                0.80873,                0.80133,                0.84053,                0.48346,                 1.4722,                0.95499,                 1.6248,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.4484,                   1.13,                 1.7132,                 0.8286,                0.85292,                0.87113,                0.48676,                 1.4503,                0.88082,                 1.5967,                0.00901,                0.00901,                0.00901
                     15,                 1.4241,                 1.1067,                 1.6939,                0.82588,                0.85352,                0.87106,                0.50036,                  1.413,                0.84927,                 1.5661,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.4119,                 1.0815,                 1.6819,                0.82476,                  0.869,                0.87359,                0.50708,                   1.45,                0.88291,                 1.5546,               0.008845,               0.008845,               0.008845
                     17,                 1.3802,                 1.0474,                 1.6567,                0.82956,                0.86407,                0.88198,                0.52127,                 1.4219,                0.84592,                  1.577,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.3861,                 1.0374,                  1.668,                0.84608,                0.85088,                0.88025,                0.52304,                 1.4224,                0.92829,                 1.5628,                0.00868,                0.00868,                0.00868
                     19,                 1.3649,                 1.0167,                 1.6338,                0.83272,                0.87403,                0.88949,                0.52788,                 1.4287,                0.82066,                 1.5563,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.3588,                0.99832,                 1.6421,                0.84271,                0.88206,                0.90287,                0.55872,                  1.348,                0.80374,                 1.5052,               0.008515,               0.008515,               0.008515
                     21,                   1.35,                0.98585,                 1.6225,                0.84579,                0.87841,                0.89816,                0.54026,                 1.3709,                0.79334,                 1.5151,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.3283,                0.97143,                 1.6043,                0.86668,                0.88888,                0.90701,                0.55038,                 1.3646,                0.77263,                  1.506,                0.00835,                0.00835,                0.00835
                     23,                 1.3119,                 0.9349,                 1.5784,                0.85026,                0.87092,                0.89755,                0.53442,                 1.3768,                 0.7683,                 1.5162,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.3152,                0.93688,                   1.58,                0.84814,                 0.8822,                0.89565,                0.54632,                 1.3639,                 0.7733,                 1.4981,               0.008185,               0.008185,               0.008185
                     25,                 1.3003,                0.92143,                 1.5687,                0.84119,                0.86635,                0.90062,                 0.5436,                 1.3711,                0.81473,                 1.4692,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.2815,                0.91048,                 1.5606,                0.85824,                 0.8888,                0.89587,                0.53622,                  1.362,                0.75289,                 1.5116,                0.00802,                0.00802,                0.00802
                     27,                 1.2781,                0.90821,                 1.5607,                0.86213,                0.88062,                0.90066,                0.56257,                 1.3332,                0.76535,                 1.4716,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.2697,                0.89488,                  1.548,                0.87544,                0.88717,                 0.9174,                0.56099,                 1.3564,                0.75228,                 1.5184,               0.007855,               0.007855,               0.007855
                     29,                 1.2726,                0.88109,                 1.5458,                0.87114,                 0.8843,                0.91643,                0.56539,                 1.3463,                0.74343,                 1.4885,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.2497,                0.86355,                 1.5213,                0.87366,                0.88372,                0.91223,                 0.5616,                 1.3224,                 0.7448,                 1.4743,                0.00769,                0.00769,                0.00769
                     31,                 1.2571,                0.86829,                 1.5316,                0.87478,                0.87953,                0.91658,                0.57481,                 1.3133,                0.77187,                 1.4678,              0.0076075,              0.0076075,              0.0076075
                     32,                 1.2437,                0.86334,                 1.5254,                0.86036,                0.89717,                0.91489,                0.55701,                 1.3328,                0.73373,                  1.479,               0.007525,               0.007525,               0.007525
                     33,                 1.2419,                0.84723,                 1.5186,                0.87429,                0.88319,                0.91415,                0.56527,                 1.3052,                0.72377,                 1.4761,              0.0074425,              0.0074425,              0.0074425
                     34,                 1.2314,                0.83998,                  1.514,                0.88432,                0.88877,                0.92144,                0.57365,                 1.3195,                0.70327,                 1.4683,                0.00736,                0.00736,                0.00736
                     35,                 1.2291,                0.83475,                 1.5055,                0.88583,                0.88602,                0.92265,                0.57433,                  1.321,                0.72573,                 1.4784,              0.0072775,              0.0072775,              0.0072775
                     36,                 1.2143,                 0.8266,                  1.494,                 0.8888,                0.88429,                0.91681,                0.57263,                  1.303,                0.72923,                 1.4516,               0.007195,               0.007195,               0.007195
                     37,                 1.2093,                0.80993,                 1.4839,                0.87635,                0.89539,                0.91385,                0.56278,                 1.3251,                0.72099,                 1.4674,              0.0071125,              0.0071125,              0.0071125
                     38,                   1.21,                0.81676,                 1.4959,                0.87472,                0.89946,                0.92171,                0.58142,                 1.3076,                0.71724,                 1.4749,                0.00703,                0.00703,                0.00703
                     39,                    1.2,                0.79849,                 1.4795,                0.88441,                0.89386,                0.92061,                 0.5776,                 1.3019,                0.70293,                 1.4427,              0.0069475,              0.0069475,              0.0069475
                     40,                  1.201,                0.80448,                 1.4739,                0.86513,                0.89672,                0.91913,                0.57679,                 1.3018,                0.67667,                 1.4246,               0.006865,               0.006865,               0.006865
                     41,                 1.1778,                0.78173,                 1.4607,                0.87171,                0.88748,                0.90921,                0.57254,                 1.3115,                0.75421,                 1.4478,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.1844,                0.78115,                 1.4663,                0.86985,                0.88347,                0.91394,                0.58336,                 1.2882,                 0.7096,                 1.4212,                 0.0067,                 0.0067,                 0.0067
                     43,                 1.1882,                0.77691,                 1.4718,                0.88656,                0.90198,                0.92411,                0.58661,                 1.2759,                0.68347,                 1.4246,              0.0066175,              0.0066175,              0.0066175
                     44,                 1.1819,                0.78173,                 1.4679,                0.88886,                0.87935,                0.91629,                0.57585,                 1.3085,                0.69241,                 1.4739,               0.006535,               0.006535,               0.006535
