                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2843,                 5.3556,                 4.1399,                      0,                      0,                      0,                      0,                 3.2378,                 4.7153,                 4.0998,              0.0033025,              0.0033025,              0.0033025
                      2,                 2.9921,                 4.2191,                 3.4613,                0.31674,                0.32031,                 0.1096,                 0.0378,                 2.5708,                 6.6536,                  2.996,              0.0065811,              0.0065811,              0.0065811
                      3,                 2.4485,                 3.1804,                 2.8691,                0.46726,                 0.3113,                0.19401,                0.06774,                 2.2761,                 8.2772,                 2.7252,              0.0098046,              0.0098046,              0.0098046
                      4,                 2.1363,                  2.515,                 2.4909,                0.34823,                0.51502,                0.42066,                 0.1764,                   1.99,                 3.1471,                 2.2883,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.9624,                 2.1248,                 2.2744,                0.56611,                0.53735,                0.53037,                0.20933,                 2.0293,                  2.262,                 2.2962,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.8683,                 1.9328,                 2.1701,                0.55412,                  0.607,                0.60992,                0.27412,                 1.8374,                  1.849,                 1.9689,                0.00967,                0.00967,                0.00967
                      7,                 1.8028,                 1.7815,                 2.0903,                0.67985,                0.59596,                0.63165,                0.30103,                 1.8363,                 1.7202,                 1.9693,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.7551,                 1.7081,                 2.0345,                0.70462,                0.61204,                0.68197,                0.32404,                 1.7897,                 1.5054,                 1.9482,               0.009505,               0.009505,               0.009505
                      9,                 1.7174,                 1.6197,                 1.9807,                0.73969,                 0.7135,                 0.7403,                0.36633,                 1.7282,                 1.3356,                 1.7805,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.6724,                 1.5386,                 1.9368,                0.76522,                0.70237,                0.76344,                0.36491,                 1.6839,                 1.2365,                 1.8269,                0.00934,                0.00934,                0.00934
                     11,                 1.6324,                 1.4531,                 1.8839,                0.75874,                0.73408,                 0.7737,                0.40612,                 1.6783,                  1.224,                 1.7249,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.6133,                 1.4076,                  1.858,                0.79298,                0.74791,                0.79121,                0.42806,                 1.5779,                 1.1352,                 1.7032,               0.009175,               0.009175,               0.009175
                     13,                 1.5953,                 1.3782,                 1.8344,                0.77604,                0.77329,                0.81088,                0.42647,                 1.6171,                 1.1047,                 1.6943,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.5744,                 1.3229,                  1.818,                0.82544,                0.80437,                0.83678,                 0.4554,                 1.5384,                 1.0089,                 1.6663,                0.00901,                0.00901,                0.00901
                     15,                 1.5487,                  1.281,                  1.783,                0.78741,                0.81444,                0.84019,                0.43846,                 1.6104,                 1.0504,                 1.7047,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.5392,                 1.2729,                  1.778,                0.80352,                0.81073,                0.83936,                0.46533,                 1.5332,                0.99162,                 1.6212,               0.008845,               0.008845,               0.008845
                     17,                 1.5195,                 1.2435,                 1.7546,                0.83606,                0.81385,                0.84394,                0.47317,                 1.5171,                 0.9703,                 1.5639,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.4996,                   1.21,                 1.7263,                 0.8113,                0.80192,                  0.833,                0.45113,                   1.59,                  1.054,                 1.6374,                0.00868,                0.00868,                0.00868
                     19,                 1.4982,                 1.2023,                 1.7349,                0.81936,                 0.8108,                0.83517,                0.45157,                 1.5572,                0.97676,                 1.6245,              0.0085975,              0.0085975,              0.0085975
                     20,                  1.487,                 1.1812,                 1.7229,                0.83372,                0.82013,                0.85688,                0.47354,                 1.5389,                0.96981,                 1.6075,               0.008515,               0.008515,               0.008515
                     21,                 1.4672,                 1.1524,                 1.7003,                0.80247,                0.82079,                0.84369,                0.43694,                 1.6366,                0.97877,                 1.6562,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.4582,                 1.1396,                 1.7025,                0.82266,                0.83632,                0.84985,                0.48143,                 1.4984,                0.91635,                 1.5822,                0.00835,                0.00835,                0.00835
                     23,                 1.4575,                 1.1241,                 1.6875,                0.81275,                0.83048,                0.84522,                0.47784,                 1.5057,                0.94573,                 1.5814,              0.0082675,              0.0082675,              0.0082675
