                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0151,                 5.7906,                 4.1494,                0.02824,                0.03619,                0.01936,                0.00448,                 2.8971,                 4.2163,                  3.846,              0.0033256,              0.0033256,              0.0033256
                      2,                  2.608,                 4.2656,                 3.3501,                0.37739,                0.37072,                0.33563,                 0.1359,                 2.1929,                 2.7696,                 2.8407,               0.006604,               0.006604,               0.006604
                      3,                 2.2164,                 3.1806,                 2.8698,                0.57232,                0.20725,                0.25213,                0.11422,                 2.0372,                 3.0558,                 2.6633,              0.0098274,              0.0098274,              0.0098274
                      4,                 1.9503,                 2.5113,                 2.5829,                0.59271,                0.51757,                0.59299,                0.27809,                 1.8041,                 1.8992,                 2.3794,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.8122,                 2.1128,                 2.4212,                0.67411,                0.68948,                0.70189,                0.35784,                 1.6379,                 1.4726,                 2.1684,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.7362,                 1.8854,                 2.3233,                0.72261,                0.72123,                0.73716,                0.39311,                 1.5999,                 1.3943,                  2.102,                0.00967,                0.00967,                0.00967
                      7,                 1.6712,                 1.7444,                 2.2466,                0.75245,                0.71207,                0.74105,                0.39615,                 1.6317,                 1.3592,                 2.1468,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.6332,                 1.6323,                 2.1969,                0.78491,                0.76346,                0.78903,                0.43317,                 1.5464,                 1.2067,                 2.0473,               0.009505,               0.009505,               0.009505
                      9,                 1.5781,                 1.5348,                 2.1371,                0.79397,                0.77474,                0.81549,                0.46095,                 1.4946,                 1.1058,                 2.0248,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.5592,                 1.4666,                  2.117,                0.79578,                0.76202,                0.82274,                0.46274,                 1.4999,                 1.0832,                 1.9907,                0.00934,                0.00934,                0.00934
                     11,                 1.5207,                 1.4104,                 2.0637,                0.82303,                0.82755,                0.85263,                0.49224,                 1.4618,                 1.0352,                 1.9221,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.4973,                 1.3657,                 2.0376,                0.81304,                0.83667,                0.86814,                0.50108,                 1.4309,                0.94526,                 1.9252,               0.009175,               0.009175,               0.009175
                     13,                 1.4586,                 1.2876,                 1.9961,                0.82271,                0.84316,                0.86291,                0.48875,                 1.4368,                0.95582,                 1.8968,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.4519,                  1.258,                 1.9769,                 0.7994,                0.84618,                0.84518,                0.50194,                 1.4252,                  0.927,                  1.883,                0.00901,                0.00901,                0.00901
                     15,                 1.4442,                  1.243,                 1.9755,                0.83398,                0.86004,                0.87402,                0.51789,                 1.4039,                  0.882,                 1.8918,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.4321,                 1.2249,                 1.9608,                0.83984,                0.86455,                0.88137,                 0.5184,                 1.4169,                0.87796,                 1.8792,               0.008845,               0.008845,               0.008845
                     17,                 1.3921,                 1.1661,                  1.915,                0.85757,                0.88142,                0.89439,                0.53827,                 1.3771,                0.86847,                 1.8446,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.3767,                   1.14,                 1.8993,                 0.8479,                0.85843,                0.88282,                0.51856,                 1.4016,                0.86862,                  1.861,                0.00868,                0.00868,                0.00868
                     19,                 1.3716,                 1.1218,                 1.8946,                0.85804,                0.85048,                0.88402,                 0.5418,                 1.3694,                0.84694,                 1.8439,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.3513,                 1.0893,                  1.871,                0.85572,                0.88005,                0.89429,                 0.5347,                 1.3808,                0.81742,                  1.824,               0.008515,               0.008515,               0.008515
                     21,                 1.3453,                  1.088,                  1.855,                0.84962,                0.86664,                0.88174,                0.52446,                 1.4011,                0.83086,                 1.8594,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.3305,                 1.0592,                  1.849,                0.86046,                0.86987,                0.89634,                0.54894,                 1.3499,                0.78445,                 1.8176,                0.00835,                0.00835,                0.00835
                     23,                 1.3161,                 1.0281,                 1.8229,                0.84948,                0.88051,                0.88421,                0.52398,                 1.3734,                0.78277,                 1.8298,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.3191,                 1.0283,                 1.8273,                0.85734,                0.87389,                0.89571,                0.55203,                 1.3481,                0.79098,                 1.7881,               0.008185,               0.008185,               0.008185
                     25,                 1.3048,                 1.0112,                 1.8222,                0.88303,                0.87228,                 0.9066,                0.54843,                 1.3474,                0.76821,                 1.8152,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.2963,                0.99514,                 1.8142,                0.86555,                0.88085,                0.89982,                0.56102,                 1.3359,                0.76921,                 1.8147,                0.00802,                0.00802,                0.00802
                     27,                 1.2842,                 1.0001,                 1.7998,                0.85629,                0.89039,                0.90738,                0.56757,                 1.3164,                0.75628,                 1.7854,              0.0079375,              0.0079375,              0.0079375
