                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9588,                 5.6778,                 4.0985,                 0.3165,                0.02063,                0.01087,                0.00302,                 2.7301,                 4.1038,                 3.6841,              0.0033217,              0.0033217,              0.0033217
                      2,                   2.63,                 4.3041,                 3.3918,                0.63394,                0.16945,                0.18859,                0.07385,                  2.272,                 3.3114,                 3.0148,              0.0066001,              0.0066001,              0.0066001
                      3,                 2.2351,                 3.3119,                 2.8835,                0.51552,                0.27569,                0.24992,                0.12097,                 2.0348,                 8.4683,                 2.6425,              0.0098236,              0.0098236,              0.0098236
                      4,                 2.0078,                 2.5816,                 2.5759,                0.63745,                0.55053,                 0.5816,                0.26534,                 1.8696,                 1.9335,                 2.3789,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.8629,                 2.1817,                 2.3872,                0.66795,                0.59888,                 0.6286,                0.29858,                 1.7828,                   1.65,                 2.1794,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.7766,                 1.9473,                 2.2738,                0.72032,                 0.6395,                0.69078,                0.33961,                 1.7063,                 1.7712,                 2.1508,                0.00967,                0.00967,                0.00967
                      7,                 1.7386,                  1.831,                 2.2334,                0.73411,                0.75593,                0.77944,                 0.4012,                 1.6323,                 1.3035,                 2.0232,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.6821,                 1.6872,                 2.1527,                0.70936,                0.68622,                 0.7469,                 0.3894,                 1.6685,                 1.4759,                 1.9965,               0.009505,               0.009505,               0.009505
                      9,                 1.6301,                 1.5974,                 2.0846,                0.78754,                0.76226,                0.79729,                0.43668,                 1.5317,                   1.17,                 1.9021,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.5935,                 1.5014,                 2.0331,                0.82832,                0.80317,                0.83476,                0.46717,                 1.5138,                 1.0729,                 1.8405,                0.00934,                0.00934,                0.00934
                     11,                 1.5714,                 1.4551,                 2.0014,                0.78054,                0.78273,                0.81176,                0.43919,                 1.5831,                 1.0654,                 1.8749,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.5479,                 1.4147,                 1.9773,                0.82836,                0.82389,                0.85502,                0.47425,                 1.5051,                 1.0002,                 1.8186,               0.009175,               0.009175,               0.009175
                     13,                 1.5318,                 1.3589,                 1.9482,                0.79705,                0.80774,                0.84433,                 0.4702,                  1.513,                0.99316,                 1.8208,              0.0090925,              0.0090925,              0.0090925
                     14,                  1.519,                 1.3197,                  1.921,                0.84495,                0.84428,                0.87677,                0.50569,                 1.4559,                0.92728,                 1.7625,                0.00901,                0.00901,                0.00901
                     15,                 1.4924,                 1.2869,                 1.8987,                0.82698,                0.83456,                0.86267,                0.50312,                 1.4348,                0.95716,                 1.7464,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.4813,                 1.2611,                 1.8912,                0.84878,                 0.8356,                0.88089,                0.52174,                 1.4248,                0.90534,                 1.7093,               0.008845,               0.008845,               0.008845
