                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.281,                 5.1463,                 4.0649,                0.74585,                0.03152,                0.01785,                0.00498,                  2.994,                 3.6434,                  3.524,              0.0033178,              0.0033178,              0.0033178
                      2,                 2.7846,                 3.6229,                 3.2331,                0.34368,                0.36906,                 0.2969,                0.11112,                 2.2802,                  2.482,                 2.6052,              0.0065963,              0.0065963,              0.0065963
                      3,                 2.2898,                 2.7545,                 2.7092,                0.41174,                0.30906,                0.29155,                 0.1098,                 2.2371,                 2.8159,                 2.5693,              0.0098198,              0.0098198,              0.0098198
                      4,                 2.0464,                 2.2837,                 2.4137,                 0.6097,                0.55509,                0.56441,                0.25374,                  1.846,                 1.7696,                 2.1019,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.8911,                 1.9328,                 2.2104,                0.64897,                0.65624,                0.67253,                0.32025,                    1.8,                 1.4749,                 1.9796,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.7934,                  1.761,                 2.1066,                0.74474,                 0.7258,                0.75566,                0.37363,                 1.7151,                 1.2561,                 1.8693,                0.00967,                0.00967,                0.00967
                      7,                 1.7265,                 1.6122,                 2.0294,                0.70873,                0.73704,                0.75136,                0.38635,                 1.6553,                 1.2468,                 1.8292,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.6718,                 1.5054,                 1.9558,                0.72919,                0.70154,                0.73378,                0.37994,                 1.6294,                 1.3122,                  1.796,               0.009505,               0.009505,               0.009505
                      9,                 1.6357,                 1.4383,                 1.9221,                0.78216,                 0.7643,                0.80977,                0.43185,                 1.5767,                  1.134,                 1.7364,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.6014,                 1.3822,                 1.8927,                0.81815,                0.82127,                0.84529,                0.45733,                 1.5582,                 1.0488,                 1.7722,                0.00934,                0.00934,                0.00934
                     11,                  1.578,                 1.3201,                 1.8584,                0.80335,                0.78601,                 0.8317,                0.45551,                 1.5668,                 1.0336,                 1.7153,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.5547,                 1.2822,                 1.8396,                0.82205,                0.80801,                0.83657,                0.44466,                 1.5783,                 1.0427,                 1.7101,               0.009175,               0.009175,               0.009175
                     13,                 1.5306,                 1.2386,                  1.814,                0.82541,                0.80999,                0.84697,                0.46411,                 1.5425,                0.98428,                 1.7092,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.5109,                 1.2014,                 1.7906,                0.82693,                0.85624,                0.85447,                0.47378,                 1.5181,                0.93092,                  1.658,                0.00901,                0.00901,                0.00901
                     15,                 1.5027,                 1.1819,                 1.7848,                0.79891,                0.83819,                0.84751,                0.47985,                 1.4913,                0.93954,                 1.6678,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.4652,                 1.1464,                 1.7471,                0.82934,                0.84172,                0.86873,                0.47651,                 1.5129,                0.92613,                 1.6626,               0.008845,               0.008845,               0.008845
                     17,                 1.4408,                 1.1095,                 1.7201,                0.84699,                0.86597,                0.87391,                 0.4996,                 1.4605,                0.86296,                 1.6471,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.4445,                 1.1135,                 1.7265,                 0.8469,                 0.8394,                0.87559,                0.48185,                  1.493,                0.86426,                 1.6192,                0.00868,                0.00868,                0.00868
                     19,                 1.4244,                 1.0845,                 1.7075,                0.85361,                0.83779,                0.88784,                0.50943,                 1.4604,                0.87295,                 1.6319,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.4149,                 1.0585,                 1.6959,                0.83326,                 0.8518,                0.87122,                0.51495,                 1.4351,                0.89916,                 1.5818,               0.008515,               0.008515,               0.008515
                     21,                 1.4093,                 1.0591,                 1.6861,                0.83467,                0.85362,                0.87277,                0.50121,                 1.4633,                 0.8751,                 1.5843,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.3997,                 1.0435,                 1.6802,                0.85508,                0.86324,                0.89714,                 0.5284,                  1.436,                0.84388,                 1.6013,                0.00835,                0.00835,                0.00835
                     23,                 1.3861,                 1.0154,                 1.6701,                0.84805,                0.87308,                0.89427,                0.52264,                 1.4244,                0.83523,                  1.576,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.3781,                 1.0034,                 1.6568,                0.84795,                0.85684,                0.88919,                0.54185,                 1.3991,                0.87795,                 1.5681,               0.008185,               0.008185,               0.008185
                     25,                 1.3709,                 1.0079,                 1.6501,                0.84003,                0.86252,                0.89256,                0.53618,                 1.4229,                0.86693,                 1.5604,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.3581,                0.98022,                 1.6414,                 0.8563,                0.87213,                 0.8864,                0.52984,                 1.4097,                0.80733,                 1.5878,                0.00802,                0.00802,                0.00802
                     27,                 1.3472,                0.96546,                 1.6288,                0.85356,                0.87831,                0.89734,                0.52752,                 1.4146,                0.81065,                  1.574,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.3263,                0.94559,                 1.6133,                0.85847,                0.88544,                0.90486,                0.53027,                  1.412,                0.78251,                 1.5728,               0.007855,               0.007855,               0.007855
                     29,                 1.3317,                0.93545,                 1.6116,                0.87087,                0.87284,                0.90079,                0.53362,                 1.4223,                0.79561,                 1.5863,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.3248,                0.94565,                 1.6029,                0.85548,                0.88171,                 0.8983,                0.53626,                 1.3982,                0.80922,                 1.5439,                0.00769,                0.00769,                0.00769
                     31,                   1.31,                0.92414,                 1.5972,                0.86235,                0.86837,                0.90006,                0.53941,                 1.4079,                0.83898,                 1.5591,              0.0076075,              0.0076075,              0.0076075
                     32,                 1.3127,                0.92411,                 1.5928,                0.86362,                0.89087,                0.91143,                0.55423,                 1.3805,                0.78886,                 1.5392,               0.007525,               0.007525,               0.007525
                     33,                 1.2951,                  0.911,                 1.5835,                0.86176,                0.88016,                0.89787,                0.55744,                 1.3696,                0.78935,                 1.5731,              0.0074425,              0.0074425,              0.0074425
                     34,                 1.2873,                 0.9045,                 1.5761,                0.85452,                0.88178,                 0.9045,                0.55256,                 1.3764,                0.77105,                 1.5223,                0.00736,                0.00736,                0.00736
                     35,                  1.291,                0.89765,                 1.5742,                0.86472,                0.87155,                0.90383,                0.55391,                 1.3742,                0.78955,                 1.5495,              0.0072775,              0.0072775,              0.0072775
                     36,                 1.2771,                0.88522,                 1.5659,                0.86899,                0.88073,                 0.9041,                0.55718,                 1.3622,                0.76209,                  1.532,               0.007195,               0.007195,               0.007195
                     37,                 1.2689,                0.87616,                 1.5579,                0.87267,                0.87863,                0.90648,                0.55157,                 1.3723,                0.76049,                 1.5295,              0.0071125,              0.0071125,              0.0071125
                     38,                 1.2671,                 0.8676,                 1.5574,                0.87541,                 0.8756,                0.90336,                 0.5509,                 1.3742,                0.77824,                 1.5268,                0.00703,                0.00703,                0.00703
                     39,                 1.2778,                0.86575,                 1.5619,                 0.8818,                 0.8829,                0.91214,                 0.5611,                 1.3563,                0.73889,                 1.5215,              0.0069475,              0.0069475,              0.0069475
                     40,                 1.2773,                0.87436,                 1.5573,                0.87002,                0.87684,                0.90532,                0.55321,                 1.3635,                0.75432,                 1.5216,               0.006865,               0.006865,               0.006865
                     41,                 1.2478,                0.84685,                  1.533,                0.87718,                 0.8832,                0.90914,                0.55848,                 1.3488,                0.75921,                  1.506,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.2538,                0.84256,                 1.5361,                0.87508,                0.89194,                0.90962,                0.56466,                 1.3539,                0.73946,                 1.5081,                 0.0067,                 0.0067,                 0.0067
                     43,                 1.2504,                0.83778,                 1.5392,                0.87199,                0.88642,                0.90913,                0.55806,                 1.3603,                 0.7269,                 1.5226,              0.0066175,              0.0066175,              0.0066175
                     44,                 1.2343,                0.82465,                 1.5217,                0.87744,                0.89005,                0.91518,                0.55922,                 1.3598,                0.72909,                 1.5108,               0.006535,               0.006535,               0.006535
                     45,                 1.2383,                0.83894,                 1.5262,                0.86987,                0.88966,                0.91002,                0.56209,                  1.349,                0.73319,                 1.5327,              0.0064525,              0.0064525,              0.0064525
                     46,                 1.2232,                0.81513,                 1.5131,                0.87614,                0.88158,                0.90748,                0.55748,                 1.3564,                0.74526,                 1.5153,                0.00637,                0.00637,                0.00637
                     47,                 1.2227,                0.81504,                 1.5121,                0.86403,                0.89259,                0.91018,                 0.5677,                 1.3383,                0.75697,                 1.5067,              0.0062875,              0.0062875,              0.0062875
                     48,                 1.2223,                0.81502,                 1.5134,                0.86035,                0.89831,                0.91242,                0.56464,                 1.3389,                0.73064,                 1.5089,               0.006205,               0.006205,               0.006205
                     49,                 1.2185,                0.81574,                 1.5126,                0.86591,                0.88923,                0.90767,                 0.5635,                 1.3527,                0.72373,                 1.5207,              0.0061225,              0.0061225,              0.0061225
