                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0901,                 4.4759,                 3.8598,                0.15344,                0.15727,                 0.1081,                0.03643,                 2.6907,                 3.6038,                 3.1601,              0.0033193,              0.0033193,              0.0033193
                      2,                 2.2767,                 2.7465,                 2.8099,                0.52521,                0.44683,                0.44688,                0.20824,                 1.9994,                 1.9566,                 2.4465,              0.0065977,              0.0065977,              0.0065977
                      3,                 1.8654,                 1.8391,                 2.3425,                0.62569,                 0.6771,                0.66723,                0.33964,                 1.6076,                 1.3689,                  2.031,              0.0098212,              0.0098212,              0.0098212
                      4,                 1.6677,                 1.4803,                 2.1318,                0.65247,                0.62021,                 0.6278,                 0.3388,                 1.5837,                 1.3668,                 1.9932,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.5559,                 1.2876,                 2.0087,                 0.7309,                0.78267,                0.79445,                0.45314,                 1.4531,                 1.0524,                  1.843,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.4745,                  1.176,                 1.9264,                0.75334,                0.79164,                0.81144,                0.45831,                 1.4332,                 1.0261,                 1.8187,                0.00967,                0.00967,                0.00967
                      7,                 1.4122,                 1.0976,                  1.869,                0.75668,                0.80981,                0.80989,                0.48311,                 1.3796,                0.93761,                 1.7808,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.3655,                 1.0342,                 1.8208,                0.79592,                0.80811,                0.82889,                0.48921,                 1.3651,                0.93377,                 1.7817,               0.009505,               0.009505,               0.009505
                      9,                 1.3327,                0.98826,                 1.7827,                0.77453,                0.83118,                0.84723,                0.51927,                 1.3125,                0.84599,                  1.735,              0.0094225,              0.0094225,              0.0094225
                     10,                  1.309,                0.95208,                 1.7572,                0.79895,                0.87055,                 0.8677,                0.53774,                 1.2955,                0.81459,                 1.7127,                0.00934,                0.00934,                0.00934
                     11,                 1.2931,                0.93079,                 1.7476,                0.81128,                0.83759,                0.85098,                0.53297,                 1.3201,                0.81578,                 1.7402,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.2669,                0.90699,                 1.7229,                0.84328,                0.82876,                0.86458,                0.54642,                 1.2568,                0.82686,                  1.687,               0.009175,               0.009175,               0.009175
                     13,                 1.2454,                0.87822,                 1.6991,                0.79761,                0.82587,                0.84971,                0.54051,                 1.2823,                0.82054,                 1.6923,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.2359,                0.86519,                 1.6898,                0.82816,                0.86596,                0.87092,                0.55496,                 1.2525,                0.76775,                 1.6678,                0.00901,                0.00901,                0.00901
                     15,                 1.2044,                 0.8345,                 1.6612,                0.81987,                0.84069,                0.87438,                0.54146,                 1.2797,                0.82211,                 1.7025,              0.0089275,              0.0089275,              0.0089275
                     16,                  1.197,                0.81934,                 1.6558,                0.82905,                0.86234,                0.88273,                 0.5708,                 1.2267,                0.77788,                 1.6584,               0.008845,               0.008845,               0.008845
                     17,                 1.1915,                0.81141,                 1.6548,                0.82922,                0.87713,                   0.89,                0.56831,                 1.2417,                0.77362,                 1.6477,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.1766,                0.79752,                 1.6373,                0.82217,                 0.8845,                0.88513,                0.55925,                 1.2525,                 0.7452,                 1.6845,                0.00868,                0.00868,                0.00868
                     19,                 1.1555,                0.77751,                 1.6132,                0.83763,                0.88041,                0.88691,                0.57798,                 1.2212,                0.73474,                 1.6623,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.1661,                0.77641,                 1.6236,                0.81371,                0.87501,                0.87523,                0.54089,                 1.2805,                0.75095,                 1.7074,               0.008515,               0.008515,               0.008515
                     21,                 1.1461,                0.75992,                  1.612,                0.83311,                0.87432,                0.89289,                0.57409,                 1.2244,                0.72227,                 1.6511,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.1354,                0.75055,                 1.5999,                0.83692,                0.88409,                 0.8946,                 0.5837,                 1.2159,                0.68249,                 1.6574,                0.00835,                0.00835,                0.00835
                     23,                 1.1297,                0.73334,                 1.5901,                0.83087,                0.87929,                 0.8883,                0.57132,                 1.2215,                0.75844,                 1.6558,              0.0082675,              0.0082675,              0.0082675
                     24,                  1.118,                0.72624,                 1.5829,                0.84638,                 0.8694,                0.89631,                0.59128,                 1.1966,                0.70974,                 1.6344,               0.008185,               0.008185,               0.008185
                     25,                 1.1111,                0.71937,                 1.5724,                0.82706,                0.88903,                0.88529,                0.57339,                 1.2038,                0.72199,                 1.6411,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.1037,                 0.7115,                 1.5693,                0.81987,                0.88907,                0.89502,                0.58957,                 1.2078,                0.72949,                 1.6402,                0.00802,                0.00802,                0.00802
                     27,                 1.0938,                0.70277,                 1.5574,                0.84263,                0.88515,                0.89935,                0.59064,                 1.1951,                0.68893,                  1.633,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.0787,                0.68936,                 1.5426,                0.84934,                0.88184,                 0.8998,                0.59038,                 1.1931,                0.67669,                 1.6382,               0.007855,               0.007855,               0.007855
                     29,                 1.0768,                0.68778,                 1.5433,                 0.8432,                0.90012,                0.90375,                0.59029,                 1.2029,                0.66499,                  1.661,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.0747,                0.68732,                  1.541,                0.84926,                0.87531,                0.88881,                0.58217,                 1.1961,                 0.7516,                 1.6544,                0.00769,                0.00769,                0.00769
                     31,                 1.0636,                0.67559,                 1.5317,                0.82622,                0.89247,                0.89847,                 0.5878,                 1.1828,                0.68766,                  1.628,              0.0076075,              0.0076075,              0.0076075
                     32,                  1.057,                0.67289,                 1.5216,                0.83576,                0.89308,                0.89781,                0.60347,                 1.1693,                0.69272,                 1.6143,               0.007525,               0.007525,               0.007525
                     33,                 1.0482,                0.65997,                 1.5182,                0.84991,                0.90059,                0.91725,                0.60854,                 1.1738,                0.64139,                 1.6328,              0.0074425,              0.0074425,              0.0074425
                     34,                 1.0544,                0.66403,                 1.5261,                0.82159,                0.88411,                0.89963,                0.58776,                  1.178,                0.68412,                 1.6226,                0.00736,                0.00736,                0.00736
