                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0372,                 5.0047,                 4.0205,                0.00021,                0.01764,                0.00011,                  3e-05,                 3.0091,                 4.6601,                 3.8822,              0.0033053,              0.0033053,              0.0033053
                      2,                 2.6027,                 3.6337,                  3.179,                0.25594,                0.14283,                0.11856,                0.04365,                 2.5426,                 3.4245,                 3.1841,              0.0065839,              0.0065839,              0.0065839
                      3,                  2.116,                 2.5064,                  2.593,                0.30426,                0.11184,                0.11943,                0.05032,                 2.3537,                 3.6941,                 3.0557,              0.0098075,              0.0098075,              0.0098075
                      4,                  1.861,                 1.9305,                 2.2728,                0.41021,                0.33176,                0.33672,                0.16831,                 2.0134,                 2.8784,                 2.4967,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.6905,                 1.5978,                 2.0755,                0.48028,                0.49832,                0.46132,                0.25624,                   1.68,                 1.8084,                 2.0135,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.5934,                  1.418,                 1.9628,                0.60851,                0.56748,                0.60447,                0.30661,                 1.7549,                 1.7146,                 2.0157,                0.00967,                0.00967,                0.00967
                      7,                 1.5343,                 1.3084,                  1.884,                0.69753,                0.72968,                0.74394,                0.41674,                 1.4724,                 1.2724,                  1.801,              0.0095875,              0.0095875,              0.0095875
                      8,                  1.479,                 1.2294,                 1.8252,                0.73781,                0.75557,                0.78252,                0.43721,                 1.4521,                 1.1272,                 1.7525,               0.009505,               0.009505,               0.009505
                      9,                 1.4381,                 1.1527,                 1.7727,                0.77594,                0.76976,                0.80561,                0.46103,                 1.4585,                 1.0721,                 1.7077,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.4145,                 1.1156,                 1.7413,                0.78192,                0.80808,                0.81848,                0.47294,                 1.4082,                0.99028,                 1.6629,                0.00934,                0.00934,                0.00934
                     11,                 1.3915,                 1.0838,                 1.7307,                0.77177,                0.80931,                0.82419,                0.47858,                 1.4212,                0.96432,                 1.6571,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.3683,                 1.0453,                  1.702,                0.80005,                 0.8208,                 0.8334,                0.49047,                 1.3763,                0.92223,                 1.6411,               0.009175,               0.009175,               0.009175
                     13,                 1.3531,                 1.0234,                 1.6841,                0.79401,                0.80581,                0.83337,                0.47819,                 1.3826,                 0.9066,                 1.6297,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.3248,                0.99581,                 1.6579,                0.68152,                0.68178,                0.72966,                 0.4225,                 1.4701,                 1.1521,                 1.6861,                0.00901,                0.00901,                0.00901
                     15,                 1.3036,                0.96416,                 1.6316,                0.81326,                0.84362,                0.87365,                0.53073,                 1.3267,                0.90193,                  1.597,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.3025,                0.96077,                 1.6264,                0.82185,                0.83213,                0.86101,                0.52344,                 1.3242,                0.88077,                 1.5918,               0.008845,               0.008845,               0.008845
                     17,                 1.2891,                0.93885,                 1.6172,                0.81167,                0.86669,                0.87643,                0.53735,                 1.3299,                0.82259,                 1.5732,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.2729,                 0.9277,                 1.5969,                0.79324,                0.84584,                0.85591,                0.52994,                 1.3222,                0.86908,                 1.5427,                0.00868,                0.00868,                0.00868
                     19,                 1.2601,                0.90502,                 1.5804,                0.73961,                0.78871,                0.80982,                0.49768,                  1.335,                0.94805,                 1.5793,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.2532,                0.90129,                 1.5822,                0.82136,                0.83982,                0.85414,                0.52854,                 1.2897,                0.81034,                 1.5218,               0.008515,               0.008515,               0.008515
                     21,                 1.2471,                0.88311,                 1.5716,                0.81492,                0.85813,                0.87337,                0.54457,                 1.3012,                0.80093,                 1.5392,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.2342,                0.86627,                 1.5533,                0.81515,                0.87491,                0.87288,                0.55702,                 1.2451,                0.78166,                 1.4948,                0.00835,                0.00835,                0.00835
                     23,                 1.2219,                0.85826,                 1.5461,                0.80866,                0.84338,                0.85274,                0.53629,                 1.2714,                0.83163,                 1.5094,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.2226,                0.85109,                 1.5528,                0.83732,                0.86276,                0.88462,                0.56497,                 1.2669,                0.79209,                 1.5164,               0.008185,               0.008185,               0.008185
                     25,                 1.2027,                 0.8421,                 1.5312,                0.83068,                0.86941,                0.88235,                0.55773,                 1.2573,                0.76947,                 1.4975,              0.0081025,              0.0081025,              0.0081025
                     26,                  1.205,                0.84047,                 1.5268,                0.83402,                0.86304,                0.87763,                0.56204,                 1.2482,                0.83167,                 1.4892,                0.00802,                0.00802,                0.00802
