                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0103,                 4.7324,                 3.9412,                0.17229,                 0.1492,                0.09826,                0.03033,                 2.6802,                 3.6541,                 3.4686,              0.0033165,              0.0033165,              0.0033165
                      2,                 2.3806,                 2.9733,                 3.0621,                0.42699,                0.39407,                0.34544,                  0.148,                 2.1641,                 3.2504,                  2.832,               0.006595,               0.006595,               0.006595
                      3,                  1.965,                 2.1095,                 2.6323,                0.33304,                0.38859,                0.31183,                0.14484,                 2.1159,                 6.8979,                 2.9731,              0.0098184,              0.0098184,              0.0098184
                      4,                 1.7581,                 1.6927,                 2.4191,                0.63962,                0.53365,                0.59358,                0.30712,                 1.6678,                 1.6055,                 2.4098,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.6124,                 1.4408,                 2.2644,                0.52188,                0.49765,                0.43361,                0.25442,                 1.7122,                 2.3971,                 2.4022,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.5247,                 1.3068,                 2.1674,                0.56326,                0.51644,                0.53699,                0.29576,                 1.6043,                 1.6417,                 2.2111,                0.00967,                0.00967,                0.00967
                      7,                 1.4674,                 1.2098,                 2.1074,                0.73353,                0.67026,                0.72483,                0.40035,                 1.5419,                 1.2085,                 2.1343,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.4183,                 1.1341,                 2.0581,                 0.6257,                0.67579,                0.61325,                0.35786,                 1.4776,                 1.6246,                 2.0689,               0.009505,               0.009505,               0.009505
                      9,                 1.3861,                 1.0731,                 2.0171,                0.76411,                 0.8204,                0.82902,                0.48684,                   1.37,                0.90881,                  2.015,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.3548,                 1.0366,                 1.9833,                0.75682,                0.82682,                 0.8309,                0.50432,                 1.3338,                0.89082,                  1.969,                0.00934,                0.00934,                0.00934
                     11,                 1.3237,                0.99832,                 1.9501,                0.81409,                0.81666,                0.85083,                0.49952,                 1.3475,                0.87416,                 1.9959,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.2856,                0.95713,                 1.9077,                0.79066,                0.83352,                0.83928,                0.50481,                 1.3717,                0.89755,                 1.9901,               0.009175,               0.009175,               0.009175
                     13,                 1.2894,                 0.9484,                 1.9016,                0.80506,                0.85074,                0.85645,                0.53237,                 1.3153,                0.83087,                 1.9419,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.2611,                0.92864,                 1.8818,                0.78594,                0.85229,                0.85435,                0.52423,                 1.3208,                0.81502,                 1.9805,                0.00901,                0.00901,                0.00901
                     15,                 1.2442,                0.89354,                 1.8563,                0.82095,                 0.8204,                0.86628,                0.52389,                 1.3003,                0.82875,                 1.9376,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.2322,                0.89451,                  1.842,                0.81391,                0.84054,                0.86864,                0.54638,                 1.2857,                0.80997,                 1.9251,               0.008845,               0.008845,               0.008845
                     17,                 1.2279,                 0.8765,                  1.843,                0.81741,                0.86651,                0.87672,                0.56504,                 1.2524,                0.76807,                 1.8681,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.2022,                0.86415,                 1.8143,                0.83676,                0.88174,                0.88938,                0.56405,                 1.2567,                0.76055,                  1.882,                0.00868,                0.00868,                0.00868
                     19,                 1.2027,                0.85448,                 1.8163,                0.82749,                  0.848,                0.87499,                0.55997,                 1.2639,                 0.7656,                  1.898,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.1881,                0.83894,                 1.7956,                 0.8376,                0.86263,                0.88435,                 0.5668,                  1.241,                0.76989,                 1.8758,               0.008515,               0.008515,               0.008515
                     21,                 1.1763,                0.82616,                 1.7821,                0.82038,                0.89206,                0.89033,                0.56548,                 1.2457,                0.74505,                 1.8843,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.1702,                  0.812,                 1.7805,                0.84185,                0.88584,                0.89695,                0.56663,                 1.2221,                0.73013,                 1.8563,                0.00835,                0.00835,                0.00835
                     23,                 1.1601,                0.79826,                 1.7671,                0.82482,                 0.8651,                0.87204,                0.55096,                 1.2605,                0.76327,                 1.8816,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.1522,                0.78645,                  1.762,                0.82377,                0.86603,                0.88161,                0.56144,                 1.2572,                0.77381,                 1.8917,               0.008185,               0.008185,               0.008185
                     25,                 1.1423,                0.78331,                 1.7472,                0.83307,                0.87873,                0.89705,                0.58047,                 1.2248,                0.70834,                 1.8696,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.1376,                0.78028,                 1.7457,                0.83615,                0.89353,                0.89699,                0.58338,                 1.2008,                0.71008,                 1.8397,                0.00802,                0.00802,                0.00802
                     27,                 1.1321,                0.76343,                 1.7381,                0.83735,                0.87115,                0.89511,                0.58769,                 1.2138,                0.71634,                 1.8429,              0.0079375,              0.0079375,              0.0079375
