                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6839,                 3.4358,                 3.5525,                      0,                      0,                      0,                      0,                 3.3352,                 4.2432,                 4.0943,             0.00047023,             0.00047023,             0.00047023
                      2,                 1.9986,                 2.0122,                 2.6035,                0.39304,                 0.3978,                0.38556,                0.18724,                 2.0869,                 1.9301,                 2.6727,             0.00093875,             0.00093875,             0.00093875
                      3,                 1.7264,                 1.5204,                 2.2961,                0.64417,                0.76406,                0.73277,                0.39167,                 1.5356,                  1.414,                 2.1397,              0.0013994,              0.0013994,              0.0013994
                      4,                 1.5666,                 1.2713,                 2.1264,                0.81419,                0.77485,                0.85083,                0.55316,                  1.249,                 1.0425,                 1.8081,              0.0013936,              0.0013936,              0.0013936
                      5,                 1.4561,                 1.1391,                 2.0065,                0.82395,                0.83024,                0.85654,                0.57196,                 1.1726,                0.86786,                 1.7097,              0.0013936,              0.0013936,              0.0013936
                      6,                 1.4392,                 1.0958,                 1.9884,                0.81198,                0.86172,                0.88559,                 0.5984,                 1.1131,                0.80897,                 1.6464,              0.0013818,              0.0013818,              0.0013818
                      7,                  1.385,                 1.0422,                 1.9253,                0.82579,                0.84648,                0.87273,                0.56442,                 1.1644,                0.85742,                 1.6365,              0.0013701,              0.0013701,              0.0013701
                      8,                 1.3378,                0.97412,                 1.8748,                0.80005,                0.89835,                0.89615,                0.60981,                 1.0511,                0.73367,                 1.5855,              0.0013583,              0.0013583,              0.0013583
                      9,                  1.303,                0.96275,                 1.8391,                0.81542,                0.91578,                0.89839,                0.61005,                 1.1075,                0.75606,                 1.6221,              0.0013465,              0.0013465,              0.0013465
                     10,                 1.2892,                0.92864,                   1.82,                0.77844,                0.83271,                0.87099,                0.63583,                0.98533,                 0.7865,                 1.4988,              0.0013347,              0.0013347,              0.0013347
                     11,                 1.2738,                0.91585,                 1.8149,                 0.8509,                0.82624,                0.89694,                0.62929,                  1.037,                0.74867,                 1.5147,              0.0013229,              0.0013229,              0.0013229
                     12,                 1.2423,                0.88417,                 1.7726,                0.86777,                0.90061,                0.92278,                0.68782,                0.93428,                0.63562,                  1.424,              0.0013111,              0.0013111,              0.0013111
                     13,                 1.2159,                0.86897,                 1.7487,                0.84693,                0.91713,                0.91588,                0.65918,                0.99672,                0.65664,                 1.4731,              0.0012993,              0.0012993,              0.0012993
                     14,                 1.2024,                0.82374,                 1.7232,                0.80559,                0.91575,                 0.9195,                0.68192,                 0.9157,                0.65032,                 1.4185,              0.0012875,              0.0012875,              0.0012875
                     15,                 1.2042,                0.83684,                 1.7345,                0.87566,                0.92195,                0.92807,                0.68296,                 0.9813,                0.64544,                 1.4605,              0.0012757,              0.0012757,              0.0012757
                     16,                 1.1974,                0.82702,                 1.7322,                0.82473,                0.91044,                0.91003,                0.67434,                0.93319,                0.65813,                 1.4097,               0.001264,               0.001264,               0.001264
                     17,                 1.1757,                0.79632,                 1.7054,                0.83586,                0.88135,                0.90758,                 0.6632,                0.95698,                0.68681,                 1.4422,              0.0012522,              0.0012522,              0.0012522
                     18,                  1.156,                0.78036,                 1.6865,                0.83529,                0.95612,                0.92805,                0.67663,                0.95511,                0.60646,                 1.4268,              0.0012404,              0.0012404,              0.0012404
                     19,                 1.1465,                0.77562,                 1.6712,                0.83707,                0.88927,                0.92111,                0.66868,                0.95375,                0.63112,                 1.4142,              0.0012286,              0.0012286,              0.0012286
                     20,                 1.1392,                0.76995,                 1.6669,                0.85551,                0.95907,                0.93716,                0.70035,                0.89515,                0.58383,                 1.3705,              0.0012168,              0.0012168,              0.0012168
                     21,                 1.1259,                0.76825,                 1.6626,                0.79128,                0.92823,                0.92169,                0.67478,                 0.9568,                0.61805,                 1.4158,               0.001205,               0.001205,               0.001205
                     22,                 1.1238,                0.75098,                 1.6505,                0.84787,                0.93905,                0.92845,                0.70499,                0.88329,                0.58201,                 1.3659,              0.0011932,              0.0011932,              0.0011932
                     23,                 1.1143,                  0.744,                 1.6412,                0.87286,                0.94645,                0.93605,                0.70975,                0.89111,                 0.5538,                  1.358,              0.0011814,              0.0011814,              0.0011814
                     24,                 1.1064,                0.72465,                 1.6342,                0.84471,                0.93008,                0.92561,                0.70365,                0.86888,                0.62631,                 1.3492,              0.0011696,              0.0011696,              0.0011696
                     25,                 1.1052,                0.72399,                 1.6397,                 0.8604,                0.93227,                0.92465,                0.70768,                0.86948,                0.55574,                 1.3392,              0.0011578,              0.0011578,              0.0011578
