                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1444,                 4.3993,                 4.0792,                  1e-05,                0.00407,                  1e-05,                      0,                 3.3815,                 4.3618,                 4.1363,             0.00034296,             0.00034296,             0.00034296
                      2,                 2.7747,                 3.4067,                 3.5539,                  2e-05,                0.00136,                  1e-05,                      0,                 3.3533,                  4.436,                 4.1123,             0.00069443,             0.00069443,             0.00069443
                      3,                 2.3362,                 2.6964,                 2.9467,                  3e-05,                0.00136,                  1e-05,                      0,                 3.3381,                 4.6303,                 4.1197,                0.00104,                0.00104,                0.00104
                      4,                 2.0995,                  2.168,                 2.6231,                0.00104,                0.10253,                0.00075,                0.00017,                 2.9871,                 4.5137,                 3.4371,              0.0013797,              0.0013797,              0.0013797
                      5,                 1.8818,                 1.8256,                 2.3984,                0.20048,                0.36809,                0.17356,                0.04921,                 2.2749,                 3.2409,                 2.6464,              0.0013818,              0.0013818,              0.0013818
                      6,                 1.7349,                 1.5776,                 2.2532,                0.52923,                0.70594,                 0.6473,                0.31694,                 1.6475,                 1.6228,                 2.1078,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.6267,                 1.4128,                 2.1438,                 0.6447,                0.76238,                0.74916,                0.43669,                 1.4106,                  1.343,                  1.915,              0.0013701,              0.0013701,              0.0013701
                      8,                 1.5775,                 1.3276,                 2.0832,                0.75123,                0.84345,                0.84285,                0.52476,                 1.3102,                 1.1736,                 1.8473,              0.0013583,              0.0013583,              0.0013583
                      9,                 1.5376,                  1.246,                 2.0357,                0.70683,                0.82403,                0.85262,                0.52435,                 1.2881,                0.98823,                 1.7938,              0.0013465,              0.0013465,              0.0013465
                     10,                 1.4796,                 1.1344,                 1.9736,                0.83003,                0.85129,                0.88671,                0.57545,                 1.2218,                0.85235,                 1.7153,              0.0013347,              0.0013347,              0.0013347
                     11,                 1.4616,                 1.1224,                 1.9465,                  0.818,                0.80068,                0.83987,                 0.4339,                 1.6534,                 1.1098,                  2.105,              0.0013229,              0.0013229,              0.0013229
                     12,                 1.4335,                 1.0791,                 1.9033,                 0.8342,                0.86888,                0.89405,                0.62439,                 1.0914,                0.83122,                 1.5548,              0.0013111,              0.0013111,              0.0013111
                     13,                 1.3659,                 1.0215,                 1.8495,                0.81921,                0.83482,                0.87111,                0.57384,                 1.2067,                0.90501,                 1.6344,              0.0012993,              0.0012993,              0.0012993
                     14,                 1.3608,                 0.9941,                 1.8261,                0.84055,                0.90776,                0.90107,                0.58937,                 1.1753,                0.83144,                 1.5784,              0.0012875,              0.0012875,              0.0012875
                     15,                   1.36,                 1.0017,                 1.8304,                0.84176,                 0.9042,                 0.8929,                 0.6055,                 1.0901,                0.81185,                 1.5421,              0.0012757,              0.0012757,              0.0012757
                     16,                 1.3319,                0.96314,                 1.7986,                0.84758,                0.86179,                 0.9083,                0.61402,                 1.0966,                0.76959,                 1.5396,               0.001264,               0.001264,               0.001264
                     17,                 1.3096,                0.91852,                 1.7611,                0.86874,                0.86842,                0.89993,                  0.646,                 1.0111,                0.75466,                 1.4484,              0.0012522,              0.0012522,              0.0012522
                     18,                 1.2897,                0.91813,                 1.7459,                0.82406,                0.90758,                0.89474,                0.63458,                 1.0223,                0.71137,                  1.459,              0.0012404,              0.0012404,              0.0012404
                     19,                 1.3115,                0.91679,                 1.7734,                0.85756,                0.91558,                0.92692,                0.66337,                 1.0065,                0.64658,                 1.4358,              0.0012286,              0.0012286,              0.0012286
                     20,                 1.2524,                0.87884,                 1.7133,                0.83589,                0.91196,                 0.9183,                0.64921,                 1.0503,                0.74884,                 1.4816,              0.0012168,              0.0012168,              0.0012168
                     21,                 1.2478,                0.86297,                  1.706,                0.85703,                0.89022,                0.90429,                0.62822,                 1.0649,                0.79839,                 1.4741,               0.001205,               0.001205,               0.001205
                     22,                 1.2443,                0.86405,                 1.6967,                 0.8348,                0.85139,                 0.9027,                0.64675,                 1.0083,                0.76067,                 1.4314,              0.0011932,              0.0011932,              0.0011932
                     23,                 1.2441,                0.84394,                 1.7075,                0.83277,                0.88428,                0.90709,                  0.646,                 1.0562,                0.75086,                  1.477,              0.0011814,              0.0011814,              0.0011814
                     24,                 1.2188,                0.83534,                 1.6725,                0.83158,                0.94067,                0.92531,                0.63672,                 1.0742,                0.70939,                 1.5029,              0.0011696,              0.0011696,              0.0011696
                     25,                 1.2289,                 0.8366,                 1.6872,                0.83119,                0.90095,                0.91817,                0.65894,                0.99618,                0.64486,                 1.4309,              0.0011578,              0.0011578,              0.0011578
                     26,                  1.199,                0.81586,                 1.6587,                0.83263,                0.91053,                0.91491,                 0.6612,                0.97664,                0.63886,                 1.4019,              0.0011461,              0.0011461,              0.0011461
                     27,                 1.2054,                0.81174,                 1.6596,                0.73708,                0.92998,                0.92283,                0.65986,                0.98125,                0.69545,                 1.4059,              0.0011343,              0.0011343,              0.0011343
                     28,                  1.204,                0.80007,                 1.6582,                0.82884,                0.95242,                0.93144,                 0.6643,                0.97407,                0.65044,                 1.4003,              0.0011225,              0.0011225,              0.0011225
                     29,                 1.1904,                0.78171,                 1.6463,                0.84884,                0.89923,                 0.9149,                0.63333,                 1.1161,                0.75312,                  1.486,              0.0011107,              0.0011107,              0.0011107
                     30,                 1.1913,                0.77659,                  1.639,                0.83712,                 0.9192,                0.91866,                0.67669,                0.91832,                0.63678,                 1.3713,              0.0010989,              0.0010989,              0.0010989
                     31,                 1.1823,                0.77524,                 1.6349,                0.78992,                0.91876,                0.92116,                0.66749,                 1.0247,                 0.6334,                 1.4334,              0.0010871,              0.0010871,              0.0010871
                     32,                 1.1619,                0.75192,                 1.6128,                0.84299,                0.89859,                0.90901,                0.65546,                0.97188,                0.67131,                 1.3813,              0.0010753,              0.0010753,              0.0010753
                     33,                 1.1671,                0.78009,                  1.612,                0.84108,                0.91718,                0.92118,                0.68124,                0.92319,                0.60717,                 1.3648,              0.0010635,              0.0010635,              0.0010635
                     34,                 1.1456,                0.75629,                 1.6034,                 0.8609,                0.91338,                0.92182,                0.67244,                0.95585,                0.62858,                 1.3699,              0.0010517,              0.0010517,              0.0010517
                     35,                 1.1678,                0.76819,                 1.6203,                0.84559,                0.93726,                0.92951,                0.68271,                0.90401,                0.60293,                 1.3532,                0.00104,                0.00104,                0.00104
                     36,                  1.148,                 0.7468,                 1.6021,                0.85299,                0.93502,                0.92309,                0.68508,                0.90139,                0.59561,                 1.3433,              0.0010282,              0.0010282,              0.0010282
                     37,                 1.1344,                0.73914,                 1.5939,                0.86799,                0.88075,                0.91421,                0.65953,                 1.0214,                0.71026,                 1.4156,              0.0010164,              0.0010164,              0.0010164
                     38,                 1.1278,                0.73833,                 1.5847,                0.85142,                0.95439,                0.93062,                0.69634,                0.89006,                0.59292,                 1.3255,              0.0010046,              0.0010046,              0.0010046
                     39,                 1.1242,                0.73019,                 1.5681,                0.86025,                0.92494,                0.92195,                0.67716,                0.94787,                0.61553,                 1.3673,              0.0009928,              0.0009928,              0.0009928
                     40,                 1.1252,                 0.7226,                 1.5769,                0.84763,                 0.9288,                0.92525,                0.70108,                0.88477,                0.58917,                 1.3293,             0.00098101,             0.00098101,             0.00098101
                     41,                 1.1274,                0.71975,                 1.5778,                0.84674,                0.92129,                0.92298,                0.69883,                0.87502,                0.58446,                 1.3149,             0.00096922,             0.00096922,             0.00096922
                     42,                 1.1115,                0.70927,                 1.5586,                0.85717,                 0.9008,                0.92178,                0.68934,                0.89026,                0.62968,                 1.3306,             0.00095743,             0.00095743,             0.00095743
                     43,                 1.1092,                0.70202,                 1.5582,                0.85127,                 0.8907,                0.92327,                 0.6921,                0.88437,                0.73849,                 1.3315,             0.00094564,             0.00094564,             0.00094564
                     44,                 1.0965,                0.70634,                 1.5469,                 0.8642,                0.95183,                0.94069,                0.69766,                0.96168,                0.57539,                 1.3749,             0.00093385,             0.00093385,             0.00093385
                     45,                 1.0954,                0.69102,                 1.5369,                0.86195,                0.95654,                0.94047,                0.70914,                0.90778,                0.53464,                 1.3348,             0.00092206,             0.00092206,             0.00092206
                     46,                 1.0819,                0.68165,                 1.5276,                0.87026,                0.93283,                 0.9347,                0.71415,                0.87105,                0.55498,                 1.3014,             0.00091027,             0.00091027,             0.00091027
                     47,                 1.1013,                0.68937,                 1.5516,                0.86741,                 0.9176,                0.92428,                0.67506,                0.98024,                0.61042,                 1.3786,             0.00089848,             0.00089848,             0.00089848
                     48,                 1.0872,                0.68691,                   1.54,                0.87277,                0.94723,                0.92979,                0.70165,                0.87336,                0.60179,                 1.3148,             0.00088669,             0.00088669,             0.00088669
                     49,                 1.0962,                0.70011,                  1.544,                 0.8619,                0.93387,                0.94204,                 0.7026,                0.88613,                0.56564,                 1.3094,             0.00087491,             0.00087491,             0.00087491
                     50,                 1.0937,                0.68842,                 1.5462,                0.85305,                0.91723,                0.94098,                0.71399,                0.87272,                0.56268,                 1.3168,             0.00086312,             0.00086312,             0.00086312
                     51,                 1.0757,                0.67004,                 1.5305,                0.85575,                0.93739,                0.93234,                0.69383,                0.93418,                0.57577,                 1.3479,             0.00085133,             0.00085133,             0.00085133
                     52,                  1.076,                0.65645,                 1.5258,                0.86338,                0.94767,                0.94369,                 0.7184,                 0.8673,                 0.5419,                 1.3033,             0.00083954,             0.00083954,             0.00083954
                     53,                 1.0581,                0.66254,                 1.5088,                 0.8669,                0.91293,                0.93246,                0.69898,                0.92347,                0.56916,                 1.3277,             0.00082775,             0.00082775,             0.00082775
                     54,                 1.0667,                0.66438,                 1.5142,                0.85136,                0.93805,                 0.9361,                0.68844,                0.93222,                0.57176,                 1.3497,             0.00081596,             0.00081596,             0.00081596
                     55,                 1.0681,                0.66711,                 1.5173,                0.87532,                0.93395,                0.93809,                0.70766,                0.87881,                0.55292,                 1.3157,             0.00080417,             0.00080417,             0.00080417
                     56,                 1.0585,                0.66105,                 1.5161,                0.86326,                0.95176,                0.94685,                0.71976,                0.87938,                0.53341,                 1.3054,             0.00079238,             0.00079238,             0.00079238
                     57,                 1.0529,                 0.6534,                 1.5027,                0.84014,                0.91916,                0.92351,                0.69577,                0.88715,                0.57231,                 1.3107,             0.00078059,             0.00078059,             0.00078059
                     58,                 1.0706,                0.66121,                 1.5244,                0.81402,                0.94489,                0.92564,                0.69945,                0.90528,                0.56922,                 1.3119,              0.0007688,              0.0007688,              0.0007688
                     59,                  1.032,                0.63982,                 1.4803,                0.85217,                0.92215,                0.93597,                  0.712,                0.88569,                0.55292,                 1.3135,             0.00075701,             0.00075701,             0.00075701
                     60,                 1.0478,                0.64109,                 1.5014,                0.85054,                0.92579,                0.93023,                0.70494,                0.85649,                0.59095,                 1.2948,             0.00074522,             0.00074522,             0.00074522
                     61,                 1.0432,                0.64379,                 1.4959,                0.86763,                0.93382,                0.93186,                0.71407,                0.85335,                0.52764,                 1.2766,             0.00073343,             0.00073343,             0.00073343
                     62,                 1.0256,                0.62731,                 1.4748,                 0.8762,                0.92222,                0.93251,                0.71384,                0.84302,                0.59838,                 1.2751,             0.00072164,             0.00072164,             0.00072164
                     63,                 1.0459,                0.63936,                 1.4975,                0.85688,                0.92403,                0.93295,                0.72068,                0.85092,                0.54081,                 1.2793,             0.00070986,             0.00070986,             0.00070986
                     64,                 1.0313,                0.63876,                 1.4826,                0.85643,                0.88804,                0.92162,                0.70371,                0.86375,                 0.7495,                 1.2928,             0.00069807,             0.00069807,             0.00069807
                     65,                 1.0342,                0.62909,                 1.4778,                0.86811,                0.93476,                0.93222,                0.71932,                0.83311,                0.58251,                 1.2716,             0.00068628,             0.00068628,             0.00068628
                     66,                 1.0288,                0.63291,                 1.4735,                0.84957,                0.92049,                0.92497,                0.70545,                0.86318,                0.60667,                 1.2908,             0.00067449,             0.00067449,             0.00067449
                     67,                 1.0347,                0.62637,                 1.4831,                0.87909,                0.91344,                0.93653,                0.70557,                0.85654,                0.54896,                 1.2838,              0.0006627,              0.0006627,              0.0006627
                     68,                 1.0231,                0.62471,                  1.473,                0.86287,                0.93952,                0.93974,                0.72068,                0.84745,                0.51288,                 1.2787,             0.00065091,             0.00065091,             0.00065091
                     69,                 1.0196,                0.61425,                 1.4779,                0.88708,                0.91026,                 0.9371,                0.71323,                0.87106,                0.56965,                 1.2925,             0.00063912,             0.00063912,             0.00063912
                     70,                 1.0147,                0.61156,                 1.4656,                0.87288,                0.93494,                0.94377,                0.71393,                0.86276,                0.52118,                 1.2854,             0.00062733,             0.00062733,             0.00062733
                     71,                 1.0097,                0.60562,                 1.4629,                0.84314,                0.94163,                0.94319,                0.72326,                0.86485,                0.53328,                 1.2849,             0.00061554,             0.00061554,             0.00061554
                     72,                 1.0076,                0.60722,                 1.4591,                0.86528,                0.90904,                0.93394,                0.70685,                0.86974,                0.58378,                 1.2894,             0.00060375,             0.00060375,             0.00060375
                     73,                 1.0067,                0.60527,                  1.461,                0.87193,                0.93285,                0.94487,                0.72492,                0.88969,                0.52938,                 1.3076,             0.00059196,             0.00059196,             0.00059196
                     74,                  1.001,                0.59988,                 1.4514,                0.86852,                0.93896,                 0.9427,                0.71768,                0.85018,                0.53722,                 1.2778,             0.00058017,             0.00058017,             0.00058017
                     75,                0.99729,                 0.5901,                 1.4487,                 0.8687,                0.94524,                0.94681,                0.72198,                0.85268,                0.51648,                 1.2822,             0.00056838,             0.00056838,             0.00056838
                     76,                0.99181,                0.60208,                 1.4458,                0.85698,                0.90931,                0.93103,                 0.7198,                0.83891,                0.56232,                 1.2659,              0.0005566,              0.0005566,              0.0005566
                     77,                0.99581,                0.59703,                 1.4457,                0.86186,                0.93752,                0.93591,                0.70439,                0.91637,                0.55064,                  1.321,             0.00054481,             0.00054481,             0.00054481
                     78,                0.99322,                0.60169,                 1.4425,                0.86262,                0.93077,                0.93741,                0.71038,                0.86903,                0.51873,                 1.2826,             0.00053302,             0.00053302,             0.00053302
                     79,                0.97141,                0.57625,                 1.4292,                0.87259,                0.91914,                0.93683,                0.72991,                0.83447,                0.53553,                 1.2693,             0.00052123,             0.00052123,             0.00052123
                     80,                 1.0001,                0.60269,                 1.4559,                0.87223,                0.90606,                0.93969,                0.72014,                0.84478,                0.54145,                 1.2693,             0.00050944,             0.00050944,             0.00050944
                     81,                0.98792,                0.58455,                 1.4377,                 0.8791,                0.93309,                0.94283,                0.71991,                0.83646,                0.50384,                 1.2668,             0.00049765,             0.00049765,             0.00049765
                     82,                 0.9782,                0.58121,                 1.4237,                0.87475,                0.91563,                0.94349,                0.72705,                0.84525,                0.50933,                 1.2676,             0.00048586,             0.00048586,             0.00048586
