                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7826,                  3.823,                 3.7668,                  2e-05,                0.00211,                  2e-05,                      0,                 3.2113,                 4.4954,                 4.0464,             0.00046901,             0.00046901,             0.00046901
                      2,                  2.089,                 2.3422,                 2.8368,                0.22036,                0.39264,                0.22109,                0.11158,                  2.159,                 8.3887,                 2.8354,             0.00093754,             0.00093754,             0.00093754
                      3,                  1.803,                  1.717,                 2.5218,                0.69713,                0.37345,                0.34189,                0.18863,                 2.2247,                 3.0202,                 2.9224,              0.0013982,              0.0013982,              0.0013982
                      4,                  1.653,                 1.4718,                 2.3586,                 0.4933,                0.56391,                0.56037,                0.32392,                 1.5594,                 1.6961,                 2.2928,              0.0013936,              0.0013936,              0.0013936
                      5,                 1.5708,                 1.3109,                 2.2697,                  0.713,                0.74929,                0.76564,                0.45394,                   1.37,                 1.2143,                  2.127,              0.0013936,              0.0013936,              0.0013936
                      6,                  1.483,                 1.1997,                 2.1774,                0.75504,                0.80816,                0.83896,                0.56626,                 1.1211,                0.90484,                 1.8088,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.4147,                 1.0962,                  2.099,                0.79072,                0.82279,                0.84585,                0.56871,                 1.0741,                 1.0859,                 1.7337,              0.0013701,              0.0013701,              0.0013701
                      8,                 1.3671,                 1.0575,                 2.0463,                0.81736,                 0.8767,                0.89556,                0.63792,                 1.0266,                0.70079,                 1.6744,              0.0013583,              0.0013583,              0.0013583
                      9,                 1.3469,                 1.0054,                 2.0299,                0.77616,                0.83918,                0.82925,                0.57194,                 1.0462,                0.80312,                 1.7282,              0.0013465,              0.0013465,              0.0013465
                     10,                 1.3179,                0.99475,                 2.0025,                0.80946,                0.86076,                 0.9027,                0.62891,                 1.0096,                0.70479,                 1.6596,              0.0013347,              0.0013347,              0.0013347
                     11,                 1.2885,                0.96599,                 1.9712,                0.82879,                0.90956,                0.90056,                0.64169,                 1.0024,                0.73788,                 1.6572,              0.0013229,              0.0013229,              0.0013229
                     12,                 1.2853,                0.94266,                 1.9647,                0.80603,                0.85513,                0.89308,                0.63949,                 1.0003,                0.68614,                 1.6752,              0.0013111,              0.0013111,              0.0013111
                     13,                 1.2437,                0.90277,                 1.9289,                0.81089,                0.87092,                0.89522,                0.63617,                0.99123,                0.73602,                 1.6253,              0.0012993,              0.0012993,              0.0012993
                     14,                 1.2336,                0.88844,                 1.9078,                0.83639,                0.88852,                0.91026,                0.66687,                0.94566,                0.65434,                 1.5776,              0.0012875,              0.0012875,              0.0012875
                     15,                 1.2138,                0.86116,                  1.891,                0.82748,                0.84991,                 0.8675,                0.57258,                  1.141,                0.78401,                 1.7888,              0.0012757,              0.0012757,              0.0012757
                     16,                 1.2098,                0.84913,                 1.8913,                0.83882,                0.91203,                0.90539,                0.66171,                0.91418,                0.69695,                 1.5517,               0.001264,               0.001264,               0.001264
                     17,                 1.1881,                0.82861,                 1.8521,                0.87229,                0.81482,                0.91642,                 0.6641,                0.96152,                0.66893,                 1.5653,              0.0012522,              0.0012522,              0.0012522
                     18,                 1.1701,                0.81739,                 1.8453,                 0.8391,                0.93287,                0.92343,                0.67929,                0.91908,                0.61669,                 1.5398,              0.0012404,              0.0012404,              0.0012404
                     19,                 1.1774,                0.81382,                 1.8464,                 0.8537,                0.94556,                0.92087,                0.67517,                0.97574,                0.60462,                 1.5966,              0.0012286,              0.0012286,              0.0012286
                     20,                 1.1535,                0.79269,                 1.8155,                0.85057,                0.92402,                0.91637,                0.67284,                0.92915,                0.73233,                 1.5554,              0.0012168,              0.0012168,              0.0012168
                     21,                 1.1349,                  0.776,                 1.7934,                0.81973,                0.93334,                0.92189,                0.69469,                0.91307,                 0.5757,                 1.5156,               0.001205,               0.001205,               0.001205
                     22,                 1.1379,                0.75802,                 1.7969,                0.85093,                 0.9214,                0.92237,                0.68523,                0.92738,                 0.5802,                 1.5258,              0.0011932,              0.0011932,              0.0011932
                     23,                 1.1315,                0.76141,                 1.7974,                0.83593,                0.94755,                0.93239,                0.70416,                0.86845,                 0.5778,                 1.4874,              0.0011814,              0.0011814,              0.0011814
                     24,                 1.1209,                0.74486,                 1.7743,                0.82285,                0.93259,                0.92237,                0.69408,                0.92051,                0.57362,                 1.5308,              0.0011696,              0.0011696,              0.0011696
                     25,                  1.112,                0.74228,                  1.778,                0.85085,                0.93565,                0.92185,                0.68509,                0.90729,                0.60262,                 1.5069,              0.0011578,              0.0011578,              0.0011578
                     26,                  1.097,                0.72921,                 1.7521,                0.85431,                0.91969,                0.91767,                 0.6949,                0.90261,                  0.607,                 1.5247,              0.0011461,              0.0011461,              0.0011461
                     27,                  1.106,                0.74857,                  1.764,                0.84229,                0.92826,                0.92456,                  0.705,                0.83836,                0.61562,                  1.459,              0.0011343,              0.0011343,              0.0011343
                     28,                 1.1011,                0.72441,                 1.7597,                 0.8528,                0.92319,                 0.9234,                 0.7002,                0.88106,                 0.5727,                  1.484,              0.0011225,              0.0011225,              0.0011225
                     29,                 1.0914,                0.72969,                 1.7483,                0.84356,                0.94552,                 0.9312,                0.70963,                0.88201,                0.52556,                 1.4944,              0.0011107,              0.0011107,              0.0011107
                     30,                  1.086,                0.71569,                 1.7422,                0.86505,                0.94625,                0.93547,                0.70371,                0.86498,                0.55694,                 1.4744,              0.0010989,              0.0010989,              0.0010989
                     31,                 1.0603,                0.69556,                 1.7153,                0.87247,                0.93746,                0.93385,                0.70443,                0.92573,                0.55616,                 1.5277,              0.0010871,              0.0010871,              0.0010871
                     32,                 1.0625,                0.69931,                 1.7175,                0.86937,                0.94368,                0.93803,                0.71829,                 0.8559,                0.52072,                 1.4504,              0.0010753,              0.0010753,              0.0010753
                     33,                 1.0602,                0.67908,                  1.713,                 0.8768,                0.94589,                0.93395,                0.69282,                0.94525,                0.57327,                 1.5358,              0.0010635,              0.0010635,              0.0010635
                     34,                 1.0585,                0.69946,                 1.7103,                0.86044,                0.93862,                0.93788,                0.71647,                0.85811,                0.55211,                 1.4452,              0.0010517,              0.0010517,              0.0010517
                     35,                 1.0798,                0.69702,                 1.7251,                0.85712,                0.91526,                0.93306,                0.70704,                0.86924,                0.58714,                 1.4643,                0.00104,                0.00104,                0.00104
                     36,                 1.0393,                0.67144,                 1.6906,                0.87528,                0.94369,                0.94596,                0.72975,                0.83748,                0.50516,                 1.4359,              0.0010282,              0.0010282,              0.0010282
                     37,                 1.0549,                0.67695,                 1.6982,                0.86374,                0.93294,                0.92894,                 0.7082,                0.88367,                0.56321,                 1.4704,              0.0010164,              0.0010164,              0.0010164
