                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1762,                 5.2207,                 4.0862,                0.00098,                0.19421,                0.00224,                0.00055,                 3.7895,                 4.6845,                 4.1495,             0.00046681,             0.00046681,             0.00046681
                      2,                 2.1492,                 3.1608,                 2.7754,                0.00323,                0.55218,                0.18593,                0.06504,                 3.0661,                 4.2053,                 3.4068,             0.00093536,             0.00093536,             0.00093536
                      3,                 1.6618,                 2.0065,                 2.1394,                0.63755,                0.56826,                0.51643,                0.34058,                 1.6401,                 1.9802,                 2.0488,              0.0013961,              0.0013961,              0.0013961
                      4,                 1.4132,                 1.4893,                 1.8373,                0.67535,                 0.7228,                0.73343,                 0.4637,                 1.4729,                 1.4766,                 1.8565,              0.0013936,              0.0013936,              0.0013936
                      5,                 1.2977,                  1.237,                 1.7102,                0.70337,                0.75654,                0.74819,                0.43769,                  1.461,                 1.2698,                 1.7367,              0.0013936,              0.0013936,              0.0013936
                      6,                 1.1895,                  1.059,                 1.6068,                0.77393,                0.80031,                0.81516,                0.50859,                 1.2761,                 1.1027,                 1.6317,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.1174,                 0.9583,                 1.5145,                0.86567,                0.74616,                0.83968,                0.57903,                 1.0976,                0.98681,                  1.516,              0.0013701,              0.0013701,              0.0013701
                      8,                 1.0651,                 0.8653,                 1.4646,                0.86497,                0.88974,                0.91201,                0.67003,                0.93672,                0.82995,                  1.377,              0.0013583,              0.0013583,              0.0013583
                      9,                 1.0164,                 0.8037,                 1.4153,                0.87296,                0.88771,                0.90897,                0.63432,                 1.0825,                0.74897,                 1.3917,              0.0013465,              0.0013465,              0.0013465
                     10,                0.96804,                 0.7529,                 1.3744,                0.90131,                0.90017,                0.93882,                0.68617,                0.93517,                 0.8311,                 1.2923,              0.0013347,              0.0013347,              0.0013347
                     11,                0.95345,                0.72136,                 1.3488,                0.91997,                 0.8611,                0.93218,                0.68487,                0.89155,                0.68203,                 1.2661,              0.0013229,              0.0013229,              0.0013229
                     12,                0.93971,                0.70027,                 1.3499,                0.93095,                0.94198,                 0.9595,                0.71307,                0.87466,                0.68914,                 1.2561,              0.0013111,              0.0013111,              0.0013111
                     13,                0.91108,                0.66863,                 1.3136,                 0.9138,                0.94021,                0.95775,                 0.7111,                0.88422,                0.62568,                  1.282,              0.0012993,              0.0012993,              0.0012993
                     14,                0.88883,                0.65493,                 1.2976,                0.94281,                0.94584,                0.96929,                 0.7422,                0.83173,                0.53162,                 1.2205,              0.0012875,              0.0012875,              0.0012875
                     15,                0.88986,                0.63704,                 1.2946,                0.95662,                0.94555,                0.97677,                0.73041,                0.86963,                0.56513,                 1.2205,              0.0012757,              0.0012757,              0.0012757
                     16,                0.83327,                0.59731,                 1.2451,                0.94917,                0.96036,                0.97317,                0.72815,                0.85619,                0.52602,                 1.2016,               0.001264,               0.001264,               0.001264
                     17,                0.84454,                0.58793,                 1.2479,                0.96262,                 0.9589,                0.97929,                0.77206,                0.75061,                0.50786,                 1.1521,              0.0012522,              0.0012522,              0.0012522
                     18,                0.85452,                0.58926,                  1.255,                0.96567,                0.95739,                0.97905,                0.76289,                0.75828,                0.48475,                 1.1801,              0.0012404,              0.0012404,              0.0012404
                     19,                0.84182,                0.58337,                 1.2518,                0.94722,                0.97228,                0.98142,                0.76628,                0.79198,                0.50049,                 1.1501,              0.0012286,              0.0012286,              0.0012286
                     20,                0.82281,                0.56993,                 1.2295,                0.97889,                0.97756,                0.98721,                 0.8032,                0.70529,                 0.4668,                 1.1113,              0.0012168,              0.0012168,              0.0012168
                     21,                0.80137,                0.55843,                 1.2129,                0.94996,                0.96354,                0.98092,                0.78121,                0.72703,                0.47955,                 1.1329,               0.001205,               0.001205,               0.001205
                     22,                0.79002,                0.53774,                 1.2033,                0.95738,                0.97398,                0.98495,                0.77361,                0.76728,                0.44735,                 1.1389,              0.0011932,              0.0011932,              0.0011932
                     23,                0.78188,                0.53576,                 1.1916,                0.97077,                0.97017,                 0.9834,                 0.7893,                 0.7367,                0.45309,                  1.122,              0.0011814,              0.0011814,              0.0011814
                     24,                0.78326,                0.53591,                 1.2017,                0.96831,                0.98251,                0.98568,                0.79908,                0.69408,                0.43376,                 1.1255,              0.0011696,              0.0011696,              0.0011696
                     25,                0.77618,                0.52408,                 1.1902,                0.97093,                0.97614,                0.98263,                0.77957,                0.75774,                0.44944,                 1.1346,              0.0011578,              0.0011578,              0.0011578
                     26,                0.75565,                0.50956,                 1.1716,                0.97084,                0.96654,                0.98281,                0.80258,                0.70161,                0.43683,                 1.1214,              0.0011461,              0.0011461,              0.0011461
                     27,                 0.7437,                0.51118,                 1.1639,                0.97043,                0.97744,                0.98164,                0.80033,                0.70594,                0.46367,                 1.1061,              0.0011343,              0.0011343,              0.0011343
                     28,                0.75305,                0.51428,                 1.1705,                0.96243,                0.97291,                0.98297,                0.77952,                0.76443,                 0.4376,                 1.1131,              0.0011225,              0.0011225,              0.0011225
                     29,                0.72903,                0.49066,                  1.151,                0.96318,                0.97574,                0.98321,                0.80149,                0.69375,                0.43493,                  1.095,              0.0011107,              0.0011107,              0.0011107
                     30,                0.74616,                0.49456,                 1.1603,                0.97126,                0.97406,                0.98597,                0.81034,                0.66738,                0.42571,                 1.0732,              0.0010989,              0.0010989,              0.0010989
                     31,                0.71511,                0.47573,                 1.1321,                 0.9768,                0.96484,                0.98136,                0.79626,                0.69313,                0.42975,                 1.1045,              0.0010871,              0.0010871,              0.0010871
                     32,                0.72259,                0.48836,                 1.1477,                0.97569,                0.97794,                0.98356,                0.81466,                0.64622,                0.40433,                 1.0644,              0.0010753,              0.0010753,              0.0010753
                     33,                0.70948,                0.47228,                 1.1353,                0.97253,                0.97759,                0.98543,                0.81442,                0.64562,                0.39778,                  1.063,              0.0010635,              0.0010635,              0.0010635
                     34,                0.71699,                0.47429,                 1.1395,                0.96087,                0.98211,                0.98312,                0.80766,                0.69993,                0.40434,                 1.0841,              0.0010517,              0.0010517,              0.0010517
                     35,                0.70412,                0.46365,                 1.1344,                 0.9769,                0.98088,                 0.9879,                0.82791,                0.64352,                  0.384,                 1.0693,                0.00104,                0.00104,                0.00104
                     36,                0.69498,                0.46164,                 1.1237,                0.97565,                0.98123,                0.98794,                0.82323,                0.63637,                0.38125,                 1.0516,              0.0010282,              0.0010282,              0.0010282
                     37,                0.69367,                0.45544,                 1.1213,                0.97843,                0.98219,                0.98702,                0.83116,                0.60926,                0.38467,                 1.0552,              0.0010164,              0.0010164,              0.0010164
                     38,                0.68593,                0.44596,                 1.1124,                0.97218,                0.98212,                0.98312,                0.82617,                0.64383,                 0.3816,                 1.0691,              0.0010046,              0.0010046,              0.0010046
                     39,                0.68407,                0.45202,                 1.1125,                 0.9653,                0.97811,                0.98675,                0.82584,                0.64911,                0.38267,                 1.0619,              0.0009928,              0.0009928,              0.0009928
                     40,                0.68293,                0.44741,                 1.1154,                0.97824,                0.98043,                0.98705,                0.84063,                0.58842,                0.36331,                 1.0533,             0.00098101,             0.00098101,             0.00098101
                     41,                0.66058,                0.43475,                 1.0983,                0.98208,                0.97935,                0.98678,                0.83918,                0.59774,                0.37298,                 1.0379,             0.00096922,             0.00096922,             0.00096922
                     42,                0.67677,                0.43771,                 1.1065,                0.98661,                0.97785,                0.98771,                0.84137,                 0.5889,                0.35021,                 1.0346,             0.00095743,             0.00095743,             0.00095743
                     43,                0.67231,                0.43763,                 1.1076,                0.97815,                0.98205,                0.98647,                0.83386,                0.61459,                0.37441,                 1.0483,             0.00094564,             0.00094564,             0.00094564
                     44,                0.67208,                0.43237,                 1.1074,                0.98316,                0.98195,                0.98832,                0.84235,                 0.6065,                 0.3477,                 1.0652,             0.00093385,             0.00093385,             0.00093385
                     45,                0.66902,                0.42953,                 1.0925,                0.97812,                0.98001,                0.98614,                0.84878,                0.58249,                0.35382,                 1.0199,             0.00092206,             0.00092206,             0.00092206
                     46,                0.65843,                0.42736,                 1.0865,                0.97012,                0.98799,                0.98645,                0.85172,                0.58459,                0.35161,                 1.0414,             0.00091027,             0.00091027,             0.00091027
