                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6892,                 4.6348,                 4.1972,                0.00089,                0.18583,                 0.0064,                0.00115,                 3.8152,                 4.5028,                 4.1561,             0.00034296,             0.00034296,             0.00034296
                      2,                 2.9887,                 3.3453,                 3.5423,                0.00188,                0.08417,                0.00475,                0.00089,                 3.7102,                 4.4384,                 4.0925,             0.00069443,             0.00069443,             0.00069443
                      3,                 2.1254,                 2.0901,                 2.4784,                0.00192,                0.08333,                0.00521,                0.00096,                 3.6464,                 4.2155,                 3.8166,                0.00104,                0.00104,                0.00104
                      4,                 1.7256,                 1.6002,                  1.935,                 0.6926,                0.06167,                0.00999,                0.00222,                 3.5911,                 9.7559,                 4.1444,              0.0013797,              0.0013797,              0.0013797
                      5,                 1.5112,                 1.2912,                  1.674,                0.55884,                0.51624,                0.46397,                0.26138,                 1.9339,                 2.6862,                 2.0639,              0.0013818,              0.0013818,              0.0013818
                      6,                  1.376,                 1.1368,                 1.5665,                0.78273,                0.70538,                0.71279,                0.37882,                 1.5545,                 1.2375,                 1.7607,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.2869,                 1.0181,                 1.5065,                0.79068,                 0.7521,                 0.7697,                0.43686,                 1.5588,                 1.1396,                  1.744,              0.0013701,              0.0013701,              0.0013701
                      8,                 1.1999,                0.93201,                 1.4368,                0.79271,                0.86326,                0.84799,                 0.5605,                  1.193,                 1.1176,                 1.5852,              0.0013583,              0.0013583,              0.0013583
                      9,                 1.1258,                0.86113,                 1.3865,                 0.9191,                0.89674,                0.94494,                0.62919,                 1.0975,                0.78021,                 1.4583,              0.0013465,              0.0013465,              0.0013465
                     10,                  1.073,                0.79911,                 1.3561,                 0.8614,                 0.8878,                 0.9029,                0.60511,                 1.1394,                0.78947,                  1.448,              0.0013347,              0.0013347,              0.0013347
                     11,                 1.0283,                0.76539,                 1.3367,                0.93422,                0.90284,                0.95619,                0.66467,                  1.013,                 0.7402,                 1.3749,              0.0013229,              0.0013229,              0.0013229
                     12,                 1.0218,                 0.7252,                  1.316,                0.93906,                0.92173,                0.93736,                0.65567,                0.95176,                0.62938,                 1.3612,              0.0013111,              0.0013111,              0.0013111
                     13,                0.97634,                0.69796,                 1.3014,                0.93007,                0.92529,                0.95328,                0.67473,                 1.0183,                0.68982,                  1.424,              0.0012993,              0.0012993,              0.0012993
                     14,                0.93427,                0.67074,                 1.2772,                0.93014,                0.94029,                0.96023,                0.70761,                0.92375,                0.64571,                 1.3425,              0.0012875,              0.0012875,              0.0012875
