                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.338,                 5.3377,                 4.1798,                  0.001,                0.18583,                0.00234,                 0.0005,                  3.813,                 4.6738,                 4.1649,                 0.0033,                 0.0033,                 0.0033
                      2,                 2.2686,                 3.1337,                 3.0181,                0.50966,                0.54243,                 0.5377,                0.25117,                 1.9277,                 3.9976,                 2.5002,              0.0065786,              0.0065786,              0.0065786
                      3,                 1.6486,                 1.8026,                 2.1589,                0.45448,                0.64763,                0.51748,                0.31035,                 1.6821,                 3.5465,                 2.2245,              0.0098022,              0.0098022,              0.0098022
                      4,                 1.3584,                 1.3157,                 1.8046,                0.66338,                0.62606,                0.64046,                0.42951,                  1.434,                 1.6037,                 1.8637,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.2174,                 1.0657,                 1.6556,                0.66242,                0.63679,                0.68959,                0.46427,                 1.3162,                 1.3165,                 1.6974,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.0945,                0.90787,                 1.5441,                0.80239,                 0.8282,                0.86702,                0.60074,                  1.062,                0.87933,                 1.5282,                0.00967,                0.00967,                0.00967
                      7,                 1.0234,                0.83213,                 1.4938,                0.88976,                0.89632,                0.91739,                0.62194,                 1.0168,                0.80829,                 1.5585,              0.0095875,              0.0095875,              0.0095875
                      8,                0.97818,                0.76373,                 1.4405,                0.91761,                0.92687,                0.95737,                0.67703,                0.99442,                0.93616,                 1.4472,               0.009505,               0.009505,               0.009505
                      9,                0.94578,                0.74021,                 1.4271,                0.93879,                 0.9393,                0.97015,                0.70373,                0.86481,                0.63218,                 1.4181,              0.0094225,              0.0094225,              0.0094225
                     10,                0.91713,                0.69558,                 1.3839,                0.90548,                0.90962,                0.95298,                0.70721,                0.89477,                0.64448,                 1.3976,                0.00934,                0.00934,                0.00934
                     11,                0.88768,                0.66872,                 1.3598,                0.87296,                 0.9031,                 0.9204,                0.69444,                0.86405,                0.64368,                  1.381,              0.0092575,              0.0092575,              0.0092575
                     12,                0.87402,                0.64699,                 1.3451,                0.95448,                0.93589,                 0.9683,                0.70816,                0.92573,                0.58774,                 1.4241,               0.009175,               0.009175,               0.009175
                     13,                0.84312,                0.62469,                 1.3297,                0.94355,                0.91095,                0.96869,                0.71911,                0.87434,                0.57576,                 1.3935,              0.0090925,              0.0090925,              0.0090925
                     14,                0.82747,                0.61292,                 1.3067,                0.94916,                0.95523,                0.97885,                0.74953,                0.76168,                0.58867,                  1.316,                0.00901,                0.00901,                0.00901
