                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7769,                 5.1619,                 4.2451,                0.00096,                   0.19,                0.00233,                0.00054,                  3.784,                 4.4877,                 4.1583,             0.00017148,             0.00017148,             0.00017148
                      2,                 3.7099,                 4.6482,                 4.0763,                  0.001,                  0.195,                0.00585,                0.00109,                  3.769,                 4.4771,                  4.147,             0.00035018,             0.00035018,             0.00035018
                      3,                 3.2081,                 3.7817,                 3.5881,                0.00092,                0.18917,                0.00616,                0.00108,                 3.7524,                 4.4653,                 4.1338,             0.00052152,             0.00052152,             0.00052152
                      4,                 2.6325,                 2.9617,                  2.873,                0.00191,                0.08333,                0.00576,                0.00106,                 3.7377,                 4.4843,                   4.13,              0.0006855,              0.0006855,              0.0006855
                      5,                 2.1557,                 2.2383,                  2.313,                0.00196,                0.08417,                0.00725,                0.00131,                 3.7356,                 4.5519,                 4.1314,             0.00084213,             0.00084213,             0.00084213
                      6,                 1.8228,                 1.7852,                 1.9355,                  0.002,                0.08417,                0.00665,                0.00118,                 3.7678,                 4.5621,                 4.1014,              0.0009914,              0.0009914,              0.0009914
                      7,                 1.5706,                 1.4444,                 1.6891,                0.00197,                0.08583,                0.00681,                0.00122,                  3.784,                 4.5173,                 4.0789,              0.0011333,              0.0011333,              0.0011333
                      8,                 1.3941,                 1.2517,                 1.4979,                0.00567,                0.25153,                0.10105,                0.05331,                 3.1831,                 4.1002,                 3.3764,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2209,                 1.0998,                 1.3748,                0.80046,                0.34039,                0.36426,                 0.2494,                 2.0024,                 2.4514,                 2.2374,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.1109,                0.98859,                 1.2866,                0.89399,                0.45654,                0.54935,                0.35505,                 1.5739,                 1.8928,                 1.8347,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.0307,                0.90036,                  1.215,                0.83888,                0.63989,                0.68709,                0.45511,                 1.3364,                 1.3463,                 1.5856,              0.0011744,              0.0011744,              0.0011744
                     12,                0.98462,                 0.8451,                 1.1787,                 0.8484,                0.72372,                0.78367,                0.53576,                 1.1398,                 1.0863,                 1.3749,              0.0011461,              0.0011461,              0.0011461
                     13,                0.89518,                0.76418,                 1.1269,                0.87629,                0.77379,                 0.8481,                 0.5646,                 1.1141,                 0.8856,                 1.3574,              0.0011178,              0.0011178,              0.0011178
                     14,                0.88797,                0.73221,                 1.1069,                0.93241,                0.89849,                0.94109,                0.66087,                0.98796,                0.76084,                 1.1946,              0.0010895,              0.0010895,              0.0010895
                     15,                0.87663,                0.70411,                 1.0875,                0.92832,                0.89409,                0.94637,                0.66948,                0.96818,                0.67563,                 1.1742,              0.0010612,              0.0010612,              0.0010612
                     16,                0.83867,                0.66973,                 1.0756,                0.93539,                0.91735,                0.96387,                0.68795,                0.94863,                0.69665,                 1.1604,              0.0010329,              0.0010329,              0.0010329
