                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8148,                 5.2182,                 3.8953,                0.00472,                 0.0075,                0.00515,                0.00127,                 3.2858,                 4.1817,                 3.3497,              0.0033305,              0.0033305,              0.0033305
                      2,                 3.0131,                  3.832,                 2.9797,                0.38968,                0.39134,                0.32336,                 0.1573,                 2.5033,                 3.0768,                  2.614,              0.0066309,              0.0066309,              0.0066309
                      3,                 2.4888,                 2.7624,                 2.4502,                0.46953,                0.39726,                 0.4351,                0.21335,                  2.179,                 2.1833,                 2.2082,              0.0098982,              0.0098982,              0.0098982
                      4,                 2.2079,                 2.1775,                 2.1834,                0.56908,                0.48287,                0.55524,                0.28005,                 2.0879,                 1.8442,                 2.1013,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0068,                 1.8204,                 2.0164,                0.74199,                0.54036,                0.64495,                0.31966,                   1.92,                 1.7081,                 1.9965,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.8818,                 1.6121,                  1.886,                0.76079,                0.66493,                 0.7373,                0.40579,                 1.7209,                 1.3363,                 1.8153,               0.009802,               0.009802,               0.009802
                      7,                 1.7799,                 1.4613,                 1.8065,                0.81104,                0.68129,                0.77083,                0.41281,                 1.7679,                 1.3072,                 1.8012,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.689,                 1.3613,                 1.7403,                  0.788,                0.71605,                0.79069,                0.42319,                 1.7082,                 1.2908,                 1.7934,               0.009703,               0.009703,               0.009703
                      9,                 1.6381,                 1.2544,                 1.6943,                0.82619,                0.73261,                 0.8084,                 0.4167,                 1.7684,                  1.199,                 1.7804,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6016,                 1.2082,                 1.6638,                0.85105,                0.75589,                0.83599,                 0.4788,                 1.6049,                 1.0984,                 1.6754,               0.009604,               0.009604,               0.009604
                     11,                 1.5565,                 1.1595,                 1.6239,                0.83374,                0.74766,                0.82365,                0.46486,                 1.6327,                 1.0882,                 1.6909,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5303,                 1.1191,                 1.6093,                0.85015,                0.78748,                0.85817,                 0.4877,                 1.5824,                 1.0211,                 1.6659,               0.009505,               0.009505,               0.009505
                     13,                 1.4952,                 1.0629,                  1.575,                0.85916,                0.78946,                0.86569,                0.47538,                 1.6385,                 1.0338,                  1.675,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4657,                  1.035,                 1.5567,                0.85984,                0.76492,                0.85792,                0.48314,                  1.551,                 1.0107,                 1.6316,               0.009406,               0.009406,               0.009406
                     15,                 1.4428,                0.99362,                  1.542,                0.85137,                0.80386,                0.86566,                0.47351,                 1.5801,                 1.0054,                 1.6661,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4177,                0.96944,                 1.5189,                0.86687,                0.80216,                0.88141,                 0.5021,                 1.5807,                0.96825,                 1.6371,               0.009307,               0.009307,               0.009307
                     17,                 1.3998,                0.93688,                 1.5071,                 0.8614,                0.77842,                0.84406,                0.47824,                 1.5599,                 1.0121,                 1.6254,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3747,                0.92513,                 1.4912,                0.85634,                0.78674,                0.84937,                0.47254,                 1.6193,                0.98134,                 1.6584,               0.009208,               0.009208,               0.009208
                     19,                 1.3528,                0.89338,                 1.4673,                0.88872,                0.79565,                0.87352,                0.50227,                  1.551,                0.97593,                 1.6062,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3497,                0.88227,                 1.4837,                0.84283,                0.80501,                0.86808,                0.50438,                   1.55,                0.92994,                 1.6153,               0.009109,               0.009109,               0.009109
                     21,                 1.3428,                0.88095,                 1.4682,                0.86224,                0.78797,                0.84997,                0.49634,                 1.5556,                0.97426,                  1.621,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3136,                0.85251,                 1.4554,                0.85344,                0.80984,                 0.8766,                0.51077,                  1.531,                0.87862,                  1.607,                0.00901,                0.00901,                0.00901
                     23,                 1.3047,                0.82482,                 1.4371,                0.86797,                0.80963,                0.86946,                0.51055,                 1.5198,                0.92898,                 1.5767,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.2915,                0.82767,                 1.4237,                0.85167,                0.79534,                0.86399,                0.49815,                 1.5475,                0.92744,                  1.615,               0.008911,               0.008911,               0.008911
                     25,                 1.2801,                0.81445,                 1.4183,                0.88011,                0.81509,                0.86983,                0.51022,                 1.5448,                0.90805,                  1.597,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2831,                0.80145,                 1.4223,                0.86865,                0.83046,                0.87923,                0.50571,                 1.5676,                0.87526,                 1.6241,               0.008812,               0.008812,               0.008812
                     27,                 1.2692,                0.80284,                 1.4123,                0.84328,                0.81352,                0.87039,                0.50419,                  1.571,                0.90406,                  1.618,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.2524,                0.78717,                 1.4137,                0.87653,                0.79845,                0.87146,                0.50849,                 1.5304,                0.87425,                 1.6183,               0.008713,               0.008713,               0.008713
                     29,                  1.245,                0.77958,                 1.4005,                0.86715,                0.80695,                0.87253,                0.52012,                 1.5237,                0.88384,                 1.5959,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2228,                0.75854,                 1.3802,                0.86559,                 0.8206,                0.87623,                0.52273,                 1.5353,                0.88086,                 1.6139,               0.008614,               0.008614,               0.008614
                     31,                 1.2368,                0.75895,                 1.3737,                0.86157,                0.80465,                0.86907,                0.50139,                 1.5356,                0.87297,                 1.6245,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2208,                0.74907,                 1.3803,                0.90517,                0.80647,                0.88152,                0.53678,                 1.4782,                0.83883,                 1.5641,               0.008515,               0.008515,               0.008515
                     33,                 1.2134,                0.74474,                 1.3636,                0.89064,                0.80226,                0.87284,                0.49942,                 1.5722,                0.88026,                  1.645,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2026,                0.73322,                  1.356,                0.87877,                0.81393,                0.88453,                0.52687,                  1.479,                0.81303,                 1.5464,               0.008416,               0.008416,               0.008416
                     35,                 1.1808,                0.72542,                 1.3432,                0.88755,                0.81495,                0.88448,                0.50843,                 1.5401,                0.82167,                 1.5918,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1895,                0.72511,                 1.3501,                0.86243,                0.81712,                0.86568,                0.50067,                 1.5721,                0.88946,                 1.6118,               0.008317,               0.008317,               0.008317
                     37,                 1.1782,                 0.7095,                 1.3365,                0.87743,                0.80839,                0.86985,                0.50816,                   1.52,                 0.8662,                  1.602,              0.0082675,              0.0082675,              0.0082675
                     38,                  1.166,                0.70613,                 1.3386,                 0.8793,                0.80927,                0.86567,                0.50592,                  1.516,                0.83902,                  1.582,               0.008218,               0.008218,               0.008218
                     39,                 1.1541,                0.69515,                 1.3326,                0.87262,                 0.8355,                 0.8851,                0.53375,                 1.4709,                0.82482,                 1.5697,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1481,                0.68543,                 1.3216,                0.86919,                0.80752,                0.86496,                0.52322,                 1.4603,                0.86534,                 1.5417,               0.008119,               0.008119,               0.008119
                     41,                 1.1431,                0.68681,                 1.3174,                0.87566,                0.82208,                0.86961,                0.51295,                 1.4856,                0.87045,                 1.5874,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1492,                0.69292,                 1.3189,                0.86692,                0.82889,                 0.8892,                0.52794,                 1.4901,                0.80004,                 1.5514,                0.00802,                0.00802,                0.00802
                     43,                 1.1288,                0.67757,                 1.3092,                0.85379,                0.82043,                0.87549,                0.52165,                 1.5179,                0.85105,                  1.586,              0.0079705,              0.0079705,              0.0079705
                     44,                  1.127,                0.66638,                 1.3024,                0.85791,                 0.8316,                0.88446,                0.51989,                 1.5256,                0.81666,                 1.5779,               0.007921,               0.007921,               0.007921
                     45,                 1.1109,                0.67088,                 1.2978,                0.89147,                0.82537,                0.88408,                0.52127,                 1.4977,                0.81604,                 1.5553,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.1154,                0.66186,                 1.2977,                0.86911,                0.82386,                 0.8737,                 0.5223,                  1.502,                 0.8407,                 1.5666,               0.007822,               0.007822,               0.007822
                     47,                 1.1172,                0.66831,                 1.2985,                 0.8624,                0.81556,                0.88059,                0.52889,                 1.5048,                0.83306,                 1.5722,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1005,                0.64883,                 1.2827,                0.86929,                0.83212,                0.89261,                0.53419,                 1.4859,                0.80173,                 1.5734,               0.007723,               0.007723,               0.007723
                     49,                 1.1075,                0.65231,                 1.2924,                0.86178,                  0.829,                0.89233,                0.54023,                 1.4797,                0.81866,                 1.5302,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0978,                 0.6559,                 1.2753,                0.87526,                0.80618,                0.88159,                0.52187,                 1.4976,                0.81062,                 1.5541,               0.007624,               0.007624,               0.007624
                     51,                 1.0748,                0.63379,                 1.2655,                0.88708,                0.83843,                0.90057,                0.53951,                 1.4769,                0.76039,                 1.5476,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0869,                0.63127,                 1.2744,                0.86923,                0.81225,                0.87332,                0.52725,                 1.4706,                0.82393,                 1.5592,               0.007525,               0.007525,               0.007525
                     53,                 1.0632,                0.62911,                 1.2564,                 0.8696,                0.82437,                0.89044,                0.53075,                 1.4737,                0.78704,                 1.5646,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0811,                0.63282,                 1.2721,                0.86154,                0.82683,                0.89194,                0.52686,                 1.5461,                0.82444,                 1.5958,               0.007426,               0.007426,               0.007426
                     55,                 1.0665,                0.62698,                 1.2666,                   0.88,                0.83056,                0.89001,                0.53433,                 1.4925,                0.79031,                 1.5585,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.0675,                0.62355,                 1.2529,                 0.8822,                0.81507,                0.86357,                0.52629,                 1.4804,                0.80242,                 1.5573,               0.007327,               0.007327,               0.007327
                     57,                 1.0671,                0.62383,                  1.265,                0.85757,                0.83691,                0.88653,                 0.5324,                 1.4887,                0.80077,                 1.5701,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0539,                0.62524,                 1.2569,                0.86113,                0.86552,                0.90269,                0.54572,                 1.4851,                 0.7783,                 1.5575,               0.007228,               0.007228,               0.007228
                     59,                 1.0541,                0.61077,                 1.2518,                0.87318,                0.84403,                0.89506,                0.54051,                 1.4695,                0.75412,                 1.5559,              0.0071785,              0.0071785,              0.0071785
                     60,                   1.04,                0.60736,                 1.2436,                0.84053,                 0.8543,                0.87868,                0.51922,                 1.4866,                0.78754,                 1.5696,               0.007129,               0.007129,               0.007129
                     61,                 1.0366,                0.60042,                 1.2395,                0.89933,                0.81517,                0.89165,                0.53883,                 1.4748,                0.76773,                 1.5536,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0297,                0.60058,                 1.2341,                0.87466,                0.84732,                0.90217,                0.52887,                 1.4998,                0.75096,                 1.5711,                0.00703,                0.00703,                0.00703
                     63,                 1.0299,                0.59432,                 1.2312,                0.89363,                0.83671,                0.89135,                0.53605,                 1.4581,                0.75634,                 1.5447,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0281,                0.60204,                  1.237,                0.87316,                0.84843,                0.89131,                0.52935,                 1.4803,                0.77508,                 1.5753,               0.006931,               0.006931,               0.006931
                     65,                 1.0294,                0.60139,                 1.2308,                0.89765,                0.81115,                0.87891,                0.52425,                 1.4989,                0.77475,                 1.5732,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0206,                0.59072,                 1.2328,                0.88099,                0.83531,                0.89533,                0.53646,                 1.4658,                0.75946,                 1.5463,               0.006832,               0.006832,               0.006832
                     67,                 1.0286,                0.59343,                 1.2288,                0.87671,                0.82901,                0.89226,                0.51845,                  1.541,                0.78629,                 1.6144,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0226,                0.59155,                 1.2311,                 0.8908,                0.83332,                0.88732,                0.54237,                  1.456,                0.77184,                 1.5509,               0.006733,               0.006733,               0.006733
                     69,                  1.015,                0.59133,                 1.2262,                 0.8644,                0.83218,                0.89567,                0.54389,                 1.4574,                0.75567,                 1.5533,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0199,                0.58748,                 1.2242,                 0.8617,                0.84018,                0.89114,                0.53919,                 1.4568,                0.77517,                 1.5566,               0.006634,               0.006634,               0.006634
                     71,                0.99736,                0.57957,                 1.2095,                0.87402,                0.84763,                0.89571,                0.53465,                 1.4855,                 0.7628,                 1.5655,              0.0065845,              0.0065845,              0.0065845
