                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0998,                 5.4489,                 4.0846,                0.03046,                0.12238,                0.01405,                 0.0025,                 2.9732,                 4.3318,                 3.6815,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.7737,                 4.3007,                 3.3338,                0.47524,                0.29765,                0.22173,                0.08627,                 2.4521,                 5.6237,                 3.0444,              0.0066309,              0.0066309,              0.0066309
                      3,                 2.4567,                 3.4841,                 2.9478,                0.22951,                 0.3925,                0.15176,                0.06248,                 2.1407,                 145.84,                  2.811,              0.0098982,              0.0098982,              0.0098982
                      4,                 2.2196,                 2.7993,                 2.7045,                0.50463,                0.43195,                0.42805,                0.20726,                 1.8903,                 3.6331,                 2.4361,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0399,                 2.3601,                 2.5303,                0.53654,                0.45088,                0.38455,                0.16022,                 1.9649,                 3.5066,                 2.5225,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9109,                 2.0585,                 2.3788,                0.58793,                0.59797,                0.54526,                0.25549,                 1.8052,                 2.2281,                 2.4184,               0.009802,               0.009802,               0.009802
                      7,                 1.8331,                 1.8876,                 2.2876,                0.61798,                0.61769,                 0.6334,                0.32512,                 1.8441,                 1.8105,                 2.3419,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7495,                 1.7431,                 2.2176,                0.65171,                0.65807,                0.68005,                0.36052,                  1.739,                 1.6909,                 2.2486,               0.009703,               0.009703,               0.009703
                      9,                 1.6905,                  1.621,                 2.1449,                0.75026,                0.64796,                0.71528,                 0.3743,                 1.7165,                 1.6182,                 2.1853,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6507,                 1.5603,                 2.1061,                0.79458,                0.69229,                0.75365,                0.41315,                 1.6146,                 1.3961,                 2.1317,               0.009604,               0.009604,               0.009604
                     11,                 1.6105,                  1.484,                 2.0501,                0.77011,                0.69153,                0.74886,                0.39812,                  1.751,                 1.4762,                 2.2069,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5835,                 1.4306,                 2.0145,                0.80178,                0.74077,                0.80163,                0.45781,                 1.6043,                 1.3273,                 2.0483,               0.009505,               0.009505,               0.009505
                     13,                 1.5332,                 1.3458,                 1.9752,                 0.7596,                0.73189,                0.76903,                 0.4099,                  1.622,                 1.5085,                 2.1217,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.523,                 1.3185,                 1.9493,                 0.7926,                0.76688,                0.81087,                0.45192,                 1.6186,                 1.2695,                 2.0694,               0.009406,               0.009406,               0.009406
                     15,                 1.4782,                 1.2419,                 1.9089,                0.82155,                0.75614,                0.83643,                 0.4608,                 1.6401,                 1.2717,                 2.0679,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.456,                 1.2312,                 1.8785,                 0.8135,                0.74782,                0.84027,                  0.479,                 1.6334,                 1.2329,                  2.053,               0.009307,               0.009307,               0.009307
                     17,                 1.4429,                 1.1804,                 1.8703,                0.81204,                0.76278,                0.83601,                0.47858,                 1.6157,                 1.2375,                 2.0299,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4178,                 1.1375,                 1.8364,                0.81356,                0.77066,                0.85421,                0.46588,                 1.6215,                 1.2274,                 2.0342,               0.009208,               0.009208,               0.009208
                     19,                 1.3885,                 1.1022,                 1.8068,                0.84842,                0.77814,                0.86228,                0.49722,                 1.5604,                 1.1431,                 1.9619,              0.0091585,              0.0091585,              0.0091585
