                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8382,                 4.9156,                 3.8327,                0.14561,                0.13345,                 0.0919,                0.02682,                 3.1608,                 3.5459,                 3.2335,              0.0033305,              0.0033305,              0.0033305
                      2,                  2.954,                 3.4341,                 2.9602,                0.35979,                0.24183,                 0.1904,                0.05133,                 2.8423,                 2.7077,                 2.7298,              0.0066309,              0.0066309,              0.0066309
                      3,                 2.4289,                 2.4776,                 2.4209,                0.58127,                0.42529,                0.49303,                0.25496,                 2.1117,                 2.0497,                 2.2271,              0.0098982,              0.0098982,              0.0098982
                      4,                  2.112,                 1.9489,                 2.1378,                0.67405,                0.61679,                0.68083,                0.36217,                 1.9288,                  1.489,                  2.006,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8966,                 1.6224,                 1.9656,                0.77163,                0.65093,                0.75088,                0.38055,                 1.8525,                 1.3684,                 1.9637,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.7642,                 1.4084,                 1.8324,                0.81123,                 0.7244,                0.80522,                0.40914,                 1.7896,                 1.2327,                 1.8765,               0.009802,               0.009802,               0.009802
                      7,                 1.6735,                 1.2787,                 1.7662,                0.83173,                0.75182,                0.83263,                0.45559,                 1.6909,                 1.1505,                 1.8234,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5794,                 1.1756,                 1.6981,                0.84661,                0.77407,                0.84831,                0.48322,                 1.6135,                 1.1118,                 1.7429,               0.009703,               0.009703,               0.009703
                      9,                 1.5326,                 1.0917,                 1.6485,                0.85818,                0.81677,                 0.8759,                0.48956,                 1.5983,                0.97709,                 1.7201,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4918,                 1.0423,                 1.6216,                0.85704,                0.74532,                0.83061,                0.46532,                 1.6214,                 1.0642,                 1.7491,               0.009604,               0.009604,               0.009604
                     11,                 1.4559,                 1.0019,                 1.5941,                0.87869,                0.78786,                0.86261,                0.49114,                 1.5697,                0.97188,                 1.6843,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4231,                0.96855,                 1.5652,                 0.8625,                0.79337,                0.86981,                0.51833,                 1.5574,                0.97266,                 1.6831,               0.009505,               0.009505,               0.009505
                     13,                 1.3927,                0.91785,                 1.5366,                0.84626,                0.85215,                0.89699,                0.51557,                 1.5034,                0.89625,                 1.6438,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3667,                0.89307,                 1.5197,                0.88177,                0.83137,                0.89544,                0.51495,                 1.5655,                0.89958,                 1.6896,               0.009406,               0.009406,               0.009406
                     15,                 1.3364,                0.86106,                 1.5023,                0.85218,                0.82361,                0.88776,                0.50539,                 1.5364,                0.93339,                 1.6802,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.3165,                0.84441,                 1.4805,                0.88491,                0.79819,                 0.8828,                0.51559,                  1.566,                0.90656,                 1.6763,               0.009307,               0.009307,               0.009307
                     17,                 1.2943,                0.81222,                 1.4646,                0.85299,                0.83725,                0.88409,                0.51246,                 1.5414,                0.86069,                 1.6496,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2761,                0.80298,                 1.4467,                0.88699,                0.81389,                0.88081,                0.51337,                 1.5405,                0.85073,                 1.6591,               0.009208,               0.009208,               0.009208
                     19,                 1.2484,                0.78436,                 1.4293,                0.88493,                0.84575,                  0.896,                0.50927,                 1.5493,                0.85691,                 1.6514,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.2382,                0.77056,                 1.4334,                0.89064,                0.83469,                0.89502,                0.51116,                 1.5542,                0.85585,                 1.6832,               0.009109,               0.009109,               0.009109
                     21,                 1.2295,                0.75973,                  1.423,                0.89939,                 0.8232,                0.89596,                0.53324,                 1.4984,                0.85519,                 1.6375,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2097,                0.74459,                 1.4135,                0.89676,                0.84198,                0.90346,                0.55014,                 1.4719,                0.81114,                 1.6125,                0.00901,                0.00901,                0.00901
                     23,                 1.1973,                0.71324,                 1.3889,                0.88244,                0.84148,                0.89264,                0.53079,                 1.4692,                0.84086,                 1.5905,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.1792,                0.71413,                 1.3808,                0.87154,                0.81336,                0.88506,                0.52623,                 1.4837,                0.84852,                 1.6299,               0.008911,               0.008911,               0.008911
                     25,                 1.1704,                0.70427,                 1.3762,                0.89735,                0.82465,                0.89565,                0.54437,                 1.4534,                0.80383,                 1.5994,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.1676,                0.69571,                 1.3722,                0.90319,                0.81603,                0.89006,                0.52537,                 1.5111,                0.83286,                 1.6373,               0.008812,               0.008812,               0.008812
