                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1404,                 4.3503,                 3.6233,                0.99844,                0.14092,                0.19295,                 0.1338,                 2.5937,                 6.2291,                 2.8493,              0.0004148,              0.0004148,              0.0004148
                      2,                 2.6916,                 3.2956,                 3.0169,                0.59816,                0.35197,                0.39794,                0.20348,                 2.1931,                 2.4807,                 2.4514,             0.00082461,             0.00082461,             0.00082461
                      3,                  2.406,                 2.8452,                 2.7865,                0.73213,                0.40957,                0.52485,                0.29258,                 1.9447,                 2.8323,                 2.2712,              0.0012275,              0.0012275,              0.0012275
                      4,                 2.2029,                 2.5349,                 2.6059,                0.56519,                0.52651,                 0.5418,                0.28777,                 1.8403,                 2.3123,                 2.1423,              0.0012191,              0.0012191,              0.0012191
                      5,                 2.0605,                 2.2972,                 2.4848,                0.65966,                0.57837,                 0.6468,                0.36717,                 1.8189,                 1.6944,                 2.1089,              0.0012191,              0.0012191,              0.0012191
                      6,                 1.9917,                 2.1536,                 2.4243,                0.68384,                0.54234,                0.62493,                0.34236,                 1.7561,                 1.7207,                 2.0545,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.9167,                 1.9955,                 2.3555,                0.79358,                 0.5889,                0.67109,                0.37405,                 1.7279,                 1.5695,                 2.0542,              0.0011984,              0.0011984,              0.0011984
                      8,                 1.8572,                 1.9146,                 2.3285,                0.73519,                0.66882,                0.74362,                0.41168,                 1.6353,                 1.5272,                 1.9749,              0.0011881,              0.0011881,              0.0011881
                      9,                 1.7928,                 1.7637,                 2.2393,                0.66774,                0.69211,                0.73926,                 0.4331,                 1.6245,                 1.2973,                 1.9431,              0.0011778,              0.0011778,              0.0011778
                     10,                 1.7861,                 1.7487,                 2.2394,                0.79106,                0.66661,                0.76295,                0.44125,                 1.6044,                 1.3231,                  1.954,              0.0011675,              0.0011675,              0.0011675
                     11,                 1.7683,                 1.7025,                 2.2342,                0.77779,                0.67314,                0.76647,                0.44814,                 1.6515,                 1.2977,                 1.9869,              0.0011572,              0.0011572,              0.0011572
                     12,                 1.7096,                 1.5916,                 2.1765,                0.85063,                0.72192,                0.81359,                0.45999,                 1.5669,                 1.1877,                 1.8858,              0.0011469,              0.0011469,              0.0011469
                     13,                 1.6659,                 1.5334,                 2.1262,                 0.7839,                0.75788,                0.82602,                0.47356,                 1.5873,                 1.0912,                 1.9147,              0.0011366,              0.0011366,              0.0011366
                     14,                 1.6612,                 1.4992,                 2.1171,                0.84511,                0.78291,                0.85617,                0.51546,                 1.4926,                 1.0092,                 1.8076,              0.0011263,              0.0011263,              0.0011263
                     15,                 1.6386,                 1.4539,                 2.1135,                0.84574,                0.75117,                0.82059,                0.49254,                 1.5316,                  1.134,                 1.8543,              0.0011159,              0.0011159,              0.0011159
                     16,                 1.6189,                 1.4134,                  2.086,                0.81482,                0.76387,                0.84303,                0.49341,                 1.5558,                 1.0295,                   1.86,              0.0011056,              0.0011056,              0.0011056
                     17,                 1.6007,                 1.3616,                 2.0663,                0.85399,                0.81367,                0.86878,                0.52964,                 1.4415,                  1.009,                 1.7873,              0.0010953,              0.0010953,              0.0010953
                     18,                 1.5634,                 1.3266,                 2.0406,                0.84955,                0.79405,                 0.8722,                0.52745,                 1.4678,                0.95322,                 1.8119,               0.001085,               0.001085,               0.001085
                     19,                 1.5603,                 1.3235,                 2.0438,                0.87245,                 0.8112,                 0.8656,                0.52837,                   1.47,                0.93271,                 1.8022,              0.0010747,              0.0010747,              0.0010747
                     20,                  1.537,                 1.2624,                 2.0134,                0.87365,                0.82843,                 0.8946,                0.54346,                  1.441,                0.88501,                 1.7717,              0.0010644,              0.0010644,              0.0010644
                     21,                 1.5427,                 1.2739,                  2.025,                0.86405,                0.80645,                0.87889,                0.54443,                 1.4035,                0.89407,                 1.7754,              0.0010541,              0.0010541,              0.0010541
                     22,                 1.5111,                  1.214,                 1.9885,                0.85101,                0.82691,                0.86794,                 0.5286,                 1.4333,                0.91648,                 1.7823,              0.0010438,              0.0010438,              0.0010438
                     23,                 1.4925,                  1.211,                 1.9899,                0.87442,                0.81988,                0.87754,                0.51359,                 1.5209,                0.92406,                 1.8372,              0.0010334,              0.0010334,              0.0010334
                     24,                 1.4827,                 1.1679,                 1.9651,                 0.8885,                0.80166,                0.88704,                0.53722,                  1.467,                0.87892,                 1.7954,              0.0010231,              0.0010231,              0.0010231
                     25,                 1.4895,                   1.17,                 1.9659,                0.88112,                0.83428,                0.89451,                0.54809,                 1.4167,                0.83496,                 1.7304,              0.0010128,              0.0010128,              0.0010128
                     26,                 1.4632,                  1.142,                 1.9474,                0.88585,                0.84494,                0.89817,                0.54421,                 1.4483,                0.82521,                 1.7959,              0.0010025,              0.0010025,              0.0010025
                     27,                 1.4504,                  1.113,                 1.9407,                0.89668,                0.84726,                0.90267,                0.54829,                 1.4297,                0.84384,                 1.7914,             0.00099219,             0.00099219,             0.00099219
                     28,                 1.4512,                 1.1263,                 1.9372,                0.87489,                0.84805,                0.90386,                0.54768,                 1.4208,                 0.8231,                 1.7867,             0.00098187,             0.00098187,             0.00098187
                     29,                 1.4459,                 1.1037,                 1.9313,                0.87601,                0.83622,                0.90331,                0.54405,                  1.445,                0.82201,                 1.7724,             0.00097156,             0.00097156,             0.00097156
                     30,                 1.4201,                 1.0793,                 1.9083,                0.90638,                0.84304,                0.91368,                0.56098,                 1.3859,                0.79821,                 1.7597,             0.00096125,             0.00096125,             0.00096125
                     31,                 1.4161,                 1.0658,                 1.9089,                0.88477,                0.85246,                0.90252,                0.56213,                 1.3784,                0.79125,                 1.7447,             0.00095094,             0.00095094,             0.00095094
                     32,                 1.4019,                 1.0551,                 1.8865,                0.85165,                 0.8546,                0.89585,                0.55169,                 1.4187,                0.82084,                 1.7487,             0.00094062,             0.00094062,             0.00094062
                     33,                 1.3792,                 1.0277,                  1.871,                0.89793,                0.85437,                0.90767,                0.55512,                 1.4435,                0.78169,                 1.7826,             0.00093031,             0.00093031,             0.00093031
                     34,                 1.3909,                  1.006,                 1.8791,                0.90011,                0.84486,                0.90974,                 0.5674,                 1.3743,                0.80369,                 1.7223,                0.00092,                0.00092,                0.00092
                     35,                 1.3585,                 0.9814,                 1.8424,                 0.8976,                0.85667,                0.90644,                0.56706,                 1.4177,                0.79339,                 1.7677,             0.00090969,             0.00090969,             0.00090969
                     36,                 1.3643,                 1.0028,                 1.8603,                0.89056,                0.85524,                0.90437,                0.56448,                  1.396,                0.76375,                 1.7417,             0.00089938,             0.00089938,             0.00089938
                     37,                 1.3484,                0.96205,                 1.8351,                0.89529,                0.86935,                0.91328,                0.56607,                 1.4148,                0.76816,                 1.7549,             0.00088906,             0.00088906,             0.00088906
