                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1739,                 4.4882,                 3.6612,                0.02895,                0.17486,                0.00817,                0.00246,                 2.9518,                 6.7437,                 3.1627,             0.00041387,             0.00041387,             0.00041387
                      2,                 2.6925,                 3.3831,                 2.9884,                 0.4159,                0.36228,                0.25574,                0.11476,                 2.8364,                 3.6117,                 2.8639,             0.00082368,             0.00082368,             0.00082368
                      3,                 2.4411,                 2.9062,                 2.7449,                0.79446,                0.41765,                 0.4983,                0.27136,                 1.9811,                 2.0342,                 2.2242,              0.0012266,              0.0012266,              0.0012266
                      4,                 2.2066,                 2.5082,                 2.5391,                  0.648,                0.58611,                  0.611,                0.34851,                 1.7861,                 1.7082,                 2.0263,              0.0012191,              0.0012191,              0.0012191
                      5,                 2.0466,                 2.2418,                 2.3723,                0.78892,                0.49516,                0.61687,                0.32764,                 1.7753,                 1.7217,                 2.0049,              0.0012191,              0.0012191,              0.0012191
                      6,                 1.9579,                 2.0753,                 2.2963,                0.70751,                0.58726,                0.66151,                0.37999,                 1.7744,                 1.7513,                 2.0015,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.8882,                 1.9422,                 2.2286,                0.64808,                0.68723,                0.70369,                0.37695,                 1.7288,                 1.5292,                 1.9454,              0.0011984,              0.0011984,              0.0011984
                      8,                 1.8259,                 1.8334,                 2.1763,                0.75577,                0.66309,                0.73129,                0.41619,                 1.6299,                 1.3394,                 1.8806,              0.0011881,              0.0011881,              0.0011881
                      9,                 1.7769,                 1.7343,                 2.1212,                0.81093,                 0.6972,                0.78093,                0.41774,                 1.6796,                 1.3373,                 1.8855,              0.0011778,              0.0011778,              0.0011778
                     10,                 1.7425,                  1.686,                 2.1041,                0.80499,                0.67313,                0.77281,                0.42591,                 1.6989,                 1.2758,                 1.9087,              0.0011675,              0.0011675,              0.0011675
                     11,                 1.7136,                 1.6337,                 2.0648,                0.80188,                0.72514,                0.80803,                0.45937,                  1.592,                 1.1714,                 1.8344,              0.0011572,              0.0011572,              0.0011572
                     12,                 1.6929,                 1.5725,                 2.0551,                0.80143,                0.72549,                0.82528,                0.48597,                 1.5145,                 1.2065,                 1.7705,              0.0011469,              0.0011469,              0.0011469
                     13,                 1.6665,                 1.4889,                 2.0149,                0.81948,                0.75473,                0.84919,                0.47404,                 1.5925,                 1.0584,                 1.8425,              0.0011366,              0.0011366,              0.0011366
                     14,                 1.6224,                 1.4182,                  1.972,                0.82596,                0.72319,                0.82741,                0.49101,                 1.4991,                 1.1185,                 1.7579,              0.0011263,              0.0011263,              0.0011263
                     15,                 1.6094,                 1.4111,                  1.963,                 0.8417,                0.74777,                0.83646,                 0.4754,                 1.6102,                  1.125,                 1.8174,              0.0011159,              0.0011159,              0.0011159
                     16,                 1.6071,                 1.3929,                 1.9543,                0.79619,                0.75314,                0.84618,                0.48574,                 1.5628,                  1.015,                 1.8103,              0.0011056,              0.0011056,              0.0011056
                     17,                 1.5665,                 1.3527,                 1.9273,                0.88131,                0.78201,                0.86924,                0.50446,                 1.5164,                 1.0191,                 1.7323,              0.0010953,              0.0010953,              0.0010953
                     18,                 1.5386,                 1.2882,                 1.8922,                0.86856,                0.79939,                0.88247,                0.52156,                 1.4986,                0.96199,                 1.7165,               0.001085,               0.001085,               0.001085
                     19,                 1.5367,                 1.2721,                 1.8858,                0.86258,                0.80431,                0.88222,                0.53862,                 1.4849,                 1.0129,                 1.7192,              0.0010747,              0.0010747,              0.0010747
                     20,                  1.498,                 1.2319,                 1.8489,                0.84448,                0.78577,                 0.8738,                0.50986,                 1.5241,                0.94096,                 1.7515,              0.0010644,              0.0010644,              0.0010644
