                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2911,                 3.8886,                  1.324,                0.97167,                0.50831,                0.63812,                0.33194,                 1.1494,                 2.6548,                 1.0319,             0.00047599,             0.00047599,             0.00047599
                      2,                 1.1699,                 2.5896,                 1.0858,                0.99792,                0.33128,                0.33167,                0.22768,                0.94442,                 2.3496,                 1.0848,              0.0009429,              0.0009429,              0.0009429
                      3,                 1.0524,                 1.8508,                0.96751,                0.83569,                0.60959,                0.63825,                0.38962,                0.88046,                 1.6608,                0.89385,              0.0014004,              0.0014004,              0.0014004
                      4,                 1.3974,                 1.6856,                 1.0375,                 0.8165,                0.64613,                0.68811,                 0.4143,                 2.2051,                 2.7622,                 1.2506,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3823,                 1.3134,                  1.044,                0.70359,                0.78282,                0.82416,                0.46881,                 1.8545,                 1.6935,                 1.1508,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.3136,                 1.1478,                 1.0114,                0.77822,                0.77944,                 0.8436,                0.55406,                 1.8258,                 1.6895,                 1.1053,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.1427,                0.98906,                0.92801,                0.71673,                0.77748,                0.81172,                0.53721,                 1.6658,                 1.8248,                  1.129,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.1203,                0.89067,                0.91511,                 0.9194,                 0.7872,                0.87287,                0.56949,                 1.5409,                 1.7366,                 1.0321,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.0457,                0.80908,                0.89498,                0.81485,                0.79218,                0.85796,                0.59149,                 1.5852,                 1.8342,                 1.0514,                0.00133,                0.00133,                0.00133
                     10,                 1.1058,                0.78762,                0.88679,                0.89035,                0.78469,                0.86815,                0.62261,                 1.4382,                 1.6315,                 1.0164,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.0151,                0.72095,                0.87337,                 0.8967,                0.79905,                0.88327,                0.59412,                 1.5304,                  1.672,                 1.0127,              0.0013017,              0.0013017,              0.0013017
                     12,                0.97491,                0.68833,                0.86038,                0.78521,                0.84828,                0.90409,                0.68412,                 1.2775,                 1.5823,                0.93746,              0.0012875,              0.0012875,              0.0012875
                     13,                0.92588,                0.64961,                0.84683,                0.85755,                0.83746,                0.91391,                0.71245,                 1.2928,                 1.4269,                0.94478,              0.0012734,              0.0012734,              0.0012734
                     14,                0.87841,                0.61814,                0.82799,                0.82794,                0.85244,                0.88784,                 0.6249,                 1.3566,                 1.1818,                0.97848,              0.0012592,              0.0012592,              0.0012592
                     15,                0.89803,                0.61351,                0.83344,                0.97118,                0.84164,                0.90094,                0.66355,                 1.3277,                 1.2496,                0.94574,              0.0012451,              0.0012451,              0.0012451
                     16,                 0.8838,                0.58233,                0.80257,                0.98167,                0.85058,                0.89512,                0.61236,                 1.3928,                 0.8362,                0.98189,              0.0012309,              0.0012309,              0.0012309
                     17,                0.95464,                0.59263,                0.82661,                 0.9603,                   0.84,                0.90263,                0.67438,                 1.2793,                 1.0668,                0.94348,              0.0012168,              0.0012168,              0.0012168
                     18,                0.85225,                0.55265,                0.81507,                0.94263,                0.86128,                0.92057,                0.65932,                 1.3047,                0.96773,                0.95264,              0.0012026,              0.0012026,              0.0012026
