                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1337,                 7.6768,                 2.3755,                0.77323,                0.66667,                0.62276,                0.31817,                 2.0915,                 3.8362,                  1.845,             0.00047565,             0.00047565,             0.00047565
                      2,                 2.0623,                 3.4578,                 1.8272,                0.84813,                  0.766,                0.78071,                0.45994,                 2.0014,                 1.8656,                 1.3868,             0.00094822,             0.00094822,             0.00094822
                      3,                 1.7725,                 1.9338,                 1.5853,                0.83711,                0.65241,                0.77823,                0.47641,                 1.9621,                 1.5731,                 1.3856,               0.001417,               0.001417,               0.001417
                      4,                 1.5549,                 1.4425,                 1.4551,                0.97822,                0.66567,                0.74052,                0.49606,                 2.0438,                 1.5122,                 1.2941,               0.001412,               0.001412,               0.001412
                      5,                 1.4394,                 1.1163,                 1.3831,                0.94315,                0.81324,                0.89321,                 0.5863,                 1.5244,                0.92873,                 1.1625,               0.001412,               0.001412,               0.001412
                      6,                 1.2586,                0.94245,                  1.262,                0.99426,                0.78609,                0.90122,                  0.572,                 1.6302,                 1.1056,                 1.2235,              0.0014064,              0.0014064,              0.0014064
                      7,                  1.228,                0.82469,                 1.2511,                0.96092,                0.83521,                0.91418,                0.54177,                  1.566,                 1.0523,                 1.1463,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.1977,                 0.8073,                 1.2188,                0.99339,                0.87137,                0.94072,                0.63684,                 1.2794,                0.72172,                 1.0663,               0.001395,               0.001395,               0.001395
                      9,                 1.1717,                0.75218,                 1.2236,                 0.9884,                0.87724,                0.92364,                 0.7018,                 1.4081,                0.72331,                 1.0636,              0.0013894,              0.0013894,              0.0013894
                     10,                 1.0919,                0.70942,                 1.2005,                0.95504,                0.95539,                0.96949,                0.68961,                 1.3256,                0.76504,                 1.0421,              0.0013837,              0.0013837,              0.0013837
                     11,                 1.0334,                0.66527,                 1.1375,                0.95195,                0.96184,                 0.9635,                0.74312,                 1.3393,                0.75224,                 1.0298,              0.0013781,              0.0013781,              0.0013781
                     12,                 1.0268,                0.65426,                 1.1232,                0.98412,                0.87546,                0.96211,                0.55477,                 1.6252,                0.88419,                 1.1332,              0.0013724,              0.0013724,              0.0013724
                     13,                0.96905,                0.60803,                 1.0977,                0.98221,                0.96092,                0.97108,                0.77821,                 1.0754,                0.58389,                 1.0107,              0.0013668,              0.0013668,              0.0013668
                     14,                0.95446,                0.58937,                 1.0578,                0.98309,                0.87678,                0.97406,                0.69553,                 1.3366,                 0.8134,                 1.0477,              0.0013611,              0.0013611,              0.0013611
                     15,                0.90523,                0.58637,                 1.0161,                0.98059,                0.95702,                0.98091,                0.72662,                  1.257,                0.64801,                 1.0214,              0.0013554,              0.0013554,              0.0013554
