                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.639,                 6.7143,                 3.8622,                0.00083,                0.24784,                0.00898,                0.00145,                 2.6839,                 4.8171,                 4.0717,             0.00054065,             0.00054065,             0.00054065
                      2,                 1.8414,                 4.3256,                  2.814,                0.00094,                0.24569,                0.00988,                0.00162,                 3.4345,                 4.8388,                 4.7435,               0.001092,               0.001092,               0.001092
                      3,                 1.4205,                  3.124,                 2.3232,                0.67351,                0.44181,                0.22939,                0.15803,                 1.3297,                 11.184,                 2.3324,              0.0016389,              0.0016389,              0.0016389
                      4,                 1.1253,                 2.1432,                 1.9972,                0.77577,                0.93202,                0.94442,                0.75737,                 0.9278,                  1.911,                 1.8445,              0.0016472,              0.0016472,              0.0016472
                      5,                0.93576,                 1.5254,                  1.738,                0.97198,                0.93661,                0.94443,                0.78128,                0.76526,                 1.0909,                 1.5963,              0.0016472,              0.0016472,              0.0016472
                      6,                0.84408,                 1.1842,                 1.5854,                0.97321,                0.96213,                0.95102,                0.82468,                0.67221,                0.80308,                 1.5116,              0.0016406,              0.0016406,              0.0016406
                      7,                0.72467,                0.93539,                 1.4411,                0.97287,                0.92642,                0.95516,                0.84539,                0.67712,                 1.5429,                 1.5021,               0.001634,               0.001634,               0.001634
                      8,                0.68226,                0.78346,                 1.3735,                 0.9632,                0.93709,                0.94735,                0.78488,                0.71418,                0.76375,                 1.5429,              0.0016274,              0.0016274,              0.0016274
                      9,                0.63775,                0.70195,                 1.3233,                 0.9746,                0.96173,                 0.9578,                0.81991,                 0.7133,                0.75674,                 1.6175,              0.0016208,              0.0016208,              0.0016208
                     10,                0.60327,                0.64139,                 1.2771,                0.94866,                0.97489,                0.95857,                 0.7831,                0.84257,                0.63389,                 1.8546,              0.0016142,              0.0016142,              0.0016142
                     11,                0.58098,                0.59667,                 1.2426,                0.97338,                0.93045,                 0.9426,                0.82197,                 0.6997,                0.54134,                 1.6246,              0.0016076,              0.0016076,              0.0016076
                     12,                0.54848,                0.56335,                 1.2035,                0.87252,                0.96173,                0.94305,                0.79895,                0.65323,                0.51861,                 1.4871,               0.001601,               0.001601,               0.001601
                     13,                 0.5408,                0.52611,                 1.1764,                0.97532,                0.96596,                0.95508,                0.83289,                0.62627,                0.49394,                 1.5267,              0.0015944,              0.0015944,              0.0015944
                     14,                0.51264,                 0.4917,                 1.1666,                0.97287,                0.95823,                0.95155,                0.82293,                0.75588,                0.68667,                 1.7861,              0.0015878,              0.0015878,              0.0015878
                     15,                0.49607,                0.47831,                 1.1314,                0.97388,                0.97461,                0.95402,                0.83061,                0.63855,                0.45614,                 1.4912,              0.0015812,              0.0015812,              0.0015812
                     16,                0.48694,                0.47535,                 1.1199,                0.97381,                0.96159,                0.95278,                0.83426,                0.68306,                0.46772,                 1.6133,              0.0015746,              0.0015746,              0.0015746
                     17,                0.48457,                0.45734,                 1.1149,                0.97457,                0.97515,                 0.9582,                0.86112,                0.57301,                0.36926,                 1.4607,               0.001568,               0.001568,               0.001568
                     18,                0.49098,                0.46345,                 1.1087,                0.96971,                0.95703,                0.94876,                0.86118,                0.55943,                0.57216,                 1.3526,              0.0015614,              0.0015614,              0.0015614
                     19,                0.44874,                0.42237,                  1.078,                 0.9738,                0.97368,                0.95744,                0.85981,                0.58085,                  0.396,                 1.4458,              0.0015548,              0.0015548,              0.0015548
                     20,                0.44245,                0.40508,                 1.0704,                0.97406,                0.97296,                 0.9535,                0.86185,                0.58292,                0.38801,                 1.4472,              0.0015482,              0.0015482,              0.0015482
                     21,                0.44577,                0.40823,                 1.0787,                0.97244,                0.97376,                0.95564,                0.85199,                0.58968,                0.35747,                 1.4827,              0.0015416,              0.0015416,              0.0015416
                     22,                0.44553,                0.42675,                 1.0679,                0.89123,                0.95918,                0.94541,                0.86263,                 0.5487,                0.61267,                 1.4249,               0.001535,               0.001535,               0.001535
                     23,                0.43007,                0.38997,                  1.064,                0.97316,                0.97105,                0.95717,                0.84392,                0.58802,                0.38619,                 1.5038,              0.0015284,              0.0015284,              0.0015284
                     24,                0.42699,                0.38507,                 1.0559,                0.97415,                0.96625,                0.95327,                0.89944,                0.49608,                0.32464,                 1.2983,              0.0015218,              0.0015218,              0.0015218
                     25,                0.40743,                0.37437,                 1.0328,                0.97561,                0.97233,                0.95457,                0.88427,                0.54298,                0.30881,                 1.3822,              0.0015152,              0.0015152,              0.0015152
                     26,                0.40715,                0.37327,                 1.0353,                0.97308,                0.92458,                0.94405,                0.88502,                 0.5058,                0.35568,                 1.3343,              0.0015086,              0.0015086,              0.0015086
                     27,                0.42649,                0.36992,                 1.0459,                0.97656,                0.96486,                0.95397,                0.83182,                0.60668,                0.41366,                 1.5127,               0.001502,               0.001502,               0.001502
                     28,                0.40986,                 0.3733,                 1.0275,                0.97137,                 0.9698,                0.95724,                0.88234,                0.49229,                0.33973,                 1.3546,              0.0014954,              0.0014954,              0.0014954
                     29,                0.39445,                0.35633,                 1.0185,                0.96925,                0.97651,                0.95921,                0.87391,                0.48721,                0.30779,                 1.3587,              0.0014888,              0.0014888,              0.0014888
                     30,                0.39762,                 0.3553,                 1.0101,                0.97132,                0.97661,                0.96307,                0.92153,                0.48102,                0.31162,                 1.2563,              0.0014822,              0.0014822,              0.0014822
                     31,                0.37774,                0.34258,                 1.0036,                0.97196,                0.96939,                0.95287,                0.89737,                0.50581,                0.33062,                 1.3349,              0.0014756,              0.0014756,              0.0014756
                     32,                0.37846,                0.34509,                 0.9975,                0.97644,                0.96316,                0.95274,                 0.8762,                 0.5242,                0.32925,                 1.3484,               0.001469,               0.001469,               0.001469
                     33,                0.37194,                0.33239,                 1.0018,                0.97342,                0.97287,                0.95512,                0.89224,                0.43228,                0.28133,                 1.2418,              0.0014624,              0.0014624,              0.0014624
                     34,                0.36645,                0.32915,                0.98703,                0.97421,                0.97316,                0.95521,                0.86992,                0.53013,                0.32172,                  1.357,              0.0014558,              0.0014558,              0.0014558
                     35,                0.36691,                0.32399,                0.98977,                0.97417,                0.97207,                0.95633,                 0.9135,                0.46417,                0.30007,                 1.2525,              0.0014492,              0.0014492,              0.0014492
                     36,                0.36237,                0.31109,                 0.9886,                0.97126,                0.97233,                0.95403,                0.86927,                0.48989,                0.32035,                 1.3269,              0.0014426,              0.0014426,              0.0014426
                     37,                0.35133,                 0.3055,                  0.976,                0.97027,                0.97449,                0.96023,                 0.9112,                0.45368,                 0.2692,                 1.2745,               0.001436,               0.001436,               0.001436
                     38,                0.34824,                0.30412,                0.97287,                0.97375,                0.97123,                0.96118,                0.90799,                0.46151,                0.25005,                 1.2709,              0.0014294,              0.0014294,              0.0014294
                     39,                0.36094,                0.32441,                0.98715,                0.97131,                0.97704,                0.95324,                 0.8728,                0.51512,                0.32116,                 1.3688,              0.0014228,              0.0014228,              0.0014228
                     40,                0.35793,                0.31978,                0.98063,                0.97136,                0.97415,                0.95482,                0.86348,                 0.5362,                0.32321,                 1.3982,              0.0014161,              0.0014161,              0.0014161
                     41,                0.33796,                0.30532,                0.95925,                0.97123,                0.96962,                0.95187,                0.88593,                0.48449,                0.30388,                 1.3265,              0.0014095,              0.0014095,              0.0014095
                     42,                0.34685,                0.30286,                0.96829,                0.96921,                0.97489,                0.96657,                0.89871,                 0.5063,                0.33304,                 1.4045,              0.0014029,              0.0014029,              0.0014029
                     43,                0.35614,                0.31201,                0.97399,                0.97625,                0.97449,                0.95635,                0.89714,                0.48329,                0.29125,                 1.3298,              0.0013963,              0.0013963,              0.0013963
                     44,                0.34963,                 0.2989,                0.96744,                 0.9769,                0.97254,                0.95493,                 0.8677,                0.50325,                0.27114,                 1.3091,              0.0013897,              0.0013897,              0.0013897
                     45,                0.34221,                0.29497,                0.97227,                0.96958,                0.97328,                0.95358,                0.87189,                0.50992,                0.29206,                 1.3546,              0.0013831,              0.0013831,              0.0013831
                     46,                0.34441,                0.29896,                0.97328,                0.96875,                0.97488,                0.95756,                0.90277,                0.48981,                0.31769,                 1.3479,              0.0013765,              0.0013765,              0.0013765
                     47,                 0.3275,                 0.2845,                0.95262,                 0.9716,                0.97143,                0.95735,                0.90095,                0.40751,                0.27895,                 1.2687,              0.0013699,              0.0013699,              0.0013699
                     48,                0.33483,                0.28388,                0.95988,                0.97323,                0.97233,                0.95877,                0.88301,                0.51428,                0.25045,                 1.3358,              0.0013633,              0.0013633,              0.0013633
                     49,                0.33765,                0.29076,                0.95597,                0.97116,                0.97233,                0.95617,                0.91381,                0.44832,                0.26342,                 1.3003,              0.0013567,              0.0013567,              0.0013567
                     50,                0.32776,                0.28186,                0.95299,                0.97117,                0.97211,                0.96088,                0.88775,                0.49971,                0.27387,                 1.3724,              0.0013501,              0.0013501,              0.0013501
                     51,                0.32991,                0.27862,                0.94882,                0.97355,                0.97233,                0.95442,                0.87565,                0.48315,                0.28896,                 1.3517,              0.0013435,              0.0013435,              0.0013435
                     52,                0.33248,                0.27764,                0.94611,                0.96982,                 0.9764,                0.95605,                0.90165,                0.46844,                0.25163,                 1.3363,              0.0013369,              0.0013369,              0.0013369
                     53,                0.31862,                0.26983,                0.94563,                0.97367,                0.97704,                0.95803,                0.90059,                0.43062,                0.24976,                 1.2463,              0.0013303,              0.0013303,              0.0013303
                     54,                0.31289,                0.26718,                0.93723,                0.97162,                0.97489,                0.95462,                0.90469,                0.48059,                0.28505,                 1.3415,              0.0013237,              0.0013237,              0.0013237
                     55,                0.30425,                0.26158,                0.92497,                 0.9722,                0.97573,                0.96184,                 0.9159,                0.39372,                0.24416,                  1.233,              0.0013171,              0.0013171,              0.0013171
                     56,                0.31659,                0.27713,                0.94166,                 0.9747,                0.97233,                0.95749,                0.88187,                0.45956,                0.30518,                 1.3338,              0.0013105,              0.0013105,              0.0013105
                     57,                0.32591,                0.28361,                0.94235,                0.97298,                0.97035,                0.96018,                0.90935,                0.43513,                0.25498,                 1.2755,              0.0013039,              0.0013039,              0.0013039
                     58,                  0.312,                0.26647,                0.93707,                0.97368,                0.97301,                0.95496,                0.90325,                0.42631,                0.23239,                 1.2833,              0.0012973,              0.0012973,              0.0012973
                     59,                0.31611,                0.26275,                0.94743,                0.97641,                0.97182,                0.95764,                0.90321,                0.43874,                0.25011,                 1.3076,              0.0012907,              0.0012907,              0.0012907
                     60,                0.29282,                0.24984,                0.92891,                0.97269,                0.97171,                0.95207,                0.89632,                0.41187,                 0.2696,                 1.2442,              0.0012841,              0.0012841,              0.0012841
                     61,                 0.3132,                0.25969,                0.94311,                0.97354,                0.97194,                0.95966,                0.90974,                0.45133,                0.26104,                 1.2942,              0.0012775,              0.0012775,              0.0012775
                     62,                0.31264,                0.26825,                0.94291,                0.97659,                0.97391,                0.96102,                0.89566,                0.46725,                0.25682,                 1.3087,              0.0012709,              0.0012709,              0.0012709
                     63,                0.30438,                0.25264,                0.93626,                0.97343,                0.97449,                0.95778,                 0.9038,                0.44176,                0.23971,                 1.2572,              0.0012643,              0.0012643,              0.0012643
                     64,                0.30863,                0.26113,                0.93448,                 0.9719,                0.97603,                0.95447,                0.91046,                0.43464,                0.24698,                 1.2627,              0.0012577,              0.0012577,              0.0012577
                     65,                0.30688,                0.25997,                0.93261,                0.97432,                0.97268,                0.96028,                0.91246,                0.46348,                0.28061,                 1.3004,              0.0012511,              0.0012511,              0.0012511
                     66,                0.31462,                 0.2658,                0.94074,                0.97661,                0.97396,                0.95948,                0.91623,                0.46113,                0.23488,                 1.2708,              0.0012445,              0.0012445,              0.0012445
                     67,                0.29936,                0.25332,                0.92705,                0.97686,                0.97637,                0.96283,                0.90565,                0.43083,                0.23766,                 1.2376,              0.0012379,              0.0012379,              0.0012379
                     68,                0.30548,                0.25402,                0.92969,                0.97279,                 0.9768,                0.95782,                0.89081,                0.42945,                0.21683,                 1.2668,              0.0012313,              0.0012313,              0.0012313
